Variable Name;"Cohort/Measure in ""Most Recent"" Datafile";Merged file Drawn From (MergedXXXX_YY_PP.csv);;
CCBASIC;"AcadYr 2023-24, reported in IPEDS DCY2023-24 if data was provided; otherwise AcadYr 2023-24, reported in IPEDS DCY2023-24";2023_24;;
CCUGPROF;"AcadYr 2023-24, reported in IPEDS DCY2023-24 if data was provided; otherwise AcadYr 2023-24, reported in IPEDS DCY2023-24";2023_24;;
CCSIZSET;"AcadYr 2023-24, reported in IPEDS DCY2023-24 if data was provided; otherwise AcadYr 2023-24, reported in IPEDS DCY2023-24";2023_24;;
HBCU;AcadYr 2023-24, reported in IPEDS DCY2023-24;2023_24;;
PBI;OPE FY2024;2023_24;;
ANNHI;OPE FY2024;2023_24;;
TRIBAL;OPE FY2024;2023_24;;
AANAPII;OPE FY2024;2023_24;;
HSI;OPE FY2024;2023_24;;
NANTI;OPE FY2024;2023_24;;
MENONLY;College Navigator CY2025;2023_24;;
WOMENONLY;College Navigator CY2025;2023_24;;
RELAFFIL;"AcadYr 2023-24, reported in IPEDS DCY2023-24 if data was provided; otherwise AcadYr 2023-24, reported in IPEDS DCY2023-24";2023_24;;
ADM_RATE;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
ADM_RATE_ALL;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
SATVR25;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
SATVR75;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
SATMT25;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
SATMT75;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
SATWR25;Fall 2015, reported in IPEDS DCY2015-16;2015_16;;
SATWR75;Fall 2015, reported in IPEDS DCY2015-16;2015_16;;
SATVRMID;Fall 2021, reported in IPEDS DCY2021-22;2021_22;;
SATMTMID;Fall 2021, reported in IPEDS DCY2021-22;2021_22;;
SATWRMID;Fall 2015, reported in IPEDS DCY2015-16;2015_16;;
ACTCM25;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
ACTCM75;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
ACTEN25;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
ACTEN75;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
ACTMT25;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
ACTMT75;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
ACTWR25;Fall 2015, reported in IPEDS DCY2015-16;2015_16;;
ACTWR75;Fall 2015, reported in IPEDS DCY2015-16;2015_16;;
ACTCMMID;Fall 2021, reported in IPEDS DCY2021-22;2021_22;;
ACTENMID;Fall 2021, reported in IPEDS DCY2021-22;2021_22;;
ACTMTMID;Fall 2021, reported in IPEDS DCY2021-22;2021_22;;
ACTWRMID;Fall 2015, reported in IPEDS DCY2015-16;2015_16;;
SAT_AVG;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
SAT_AVG_ALL;Fall 2023, reported in IPEDS DCY2023-24;2023_24;;
PCIP01;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP03;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP04;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP05;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP09;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP10;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP11;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP12;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP13;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP14;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP15;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP16;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP19;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP22;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP23;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP24;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP25;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP26;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP27;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP29;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP30;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP31;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP38;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP39;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP40;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP41;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP42;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP43;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP44;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP45;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP46;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP47;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP48;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP49;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP50;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP51;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP52;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
PCIP54;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP01CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP01CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP01ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP01CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP01BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP03CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP03CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP03ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP03CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP03BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP04CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP04CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP04ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP04CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP04BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP05CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP05CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP05ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP05CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP05BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP09CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP09CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP09ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP09CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP09BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP10CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP10CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP10ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP10CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP10BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP11CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP11CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP11ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP11CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP11BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP12CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP12CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP12ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP12CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP12BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP13CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP13CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP13ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP13CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP13BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP14CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP14CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP14ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP14CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP14BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP15CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP15CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP15ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP15CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP15BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP16CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP16CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP16ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP16CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP16BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP19CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP19CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP19ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP19CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP19BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP22CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP22CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP22ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP22CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP22BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP23CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP23CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP23ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP23CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP23BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP24CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP24CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP24ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP24CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP24BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP25CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP25CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP25ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP25CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP25BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP26CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP26CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP26ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP26CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP26BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP27CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP27CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP27ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP27CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP27BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP29CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP29CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP29ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP29CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP29BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP30CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP30CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP30ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP30CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP30BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP31CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP31CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP31ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP31CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP31BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP38CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP38CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP38ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP38CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP38BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP39CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP39CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP39ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP39CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP39BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP40CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP40CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP40ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP40CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP40BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP41CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP41CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP41ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP41CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP41BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP42CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP42CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP42ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP42CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP42BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP43CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP43CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP43ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP43CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP43BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP44CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP44CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP44ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP44CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP44BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP45CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP45CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP45ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP45CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP45BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP46CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP46CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP46ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP46CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP46BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP47CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP47CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP47ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP47CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP47BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP48CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP48CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP48ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP48CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP48BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP49CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP49CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP49ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP49CERT4;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP49BACHL;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP50CERT1;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP50CERT2;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
CIP50ASSOC;AY2022-23, reported in IPEDS DCY2023-24. Based on the CIP2020 codes.;2023_24;;
