University/College Name,School Link,City,State,Name of the state,Control,Region,Accessible to Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Cost of Attendance from year,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Source,Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name and Information,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate
Andrews University,https://www.andrews.edu,Berrien Springs,MI,Michigan,Private,Midwest (Great Lakes),,Town: Fringe,1K - 9K,Coeducational,No,Balanced,Majority,On-campus,5-Very,$35.056,$10.726,$49.782,24-25,Both,229,"76,1%",$18.834,$28.926,USN25,,,,,,,,,-,78%
Antioch College,https://www.antiochcollege.org,Yellow Springs,OH,Ohio,Private,Midwest (Great Lakes),,Rural: Fringe,<1K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$37.043,$7.640,$48.683,23-24,Both,No data,No data,No data,,,,No,,,,,,TBD,-,83%
Appalachian State University,https://www.appstate.edu,Boone,NC,North Carolina,Public,Southeast,,Town: Distant,20K+,Coeducational,No,Professional,Very High,On-campus,0-None,$25.768,$12.868,$42.636,24-25,Merit,,,,,,,N/A,$2.000,International Student Scholarship,https://international.appstate.edu/scholarships/international-student-scholarships,A merit-based scholarship for degree-seeking international students on an F-1 or J-1 visa. Applicants are automatically considered upon admission; no separate scholarship application is needed.,$23.768,$40.636,Automatic consideration,"88,6%"
Aquinas College,https://www.aquinas.edu,Grand Rapids,MI,Michigan,Private,Midwest (Great Lakes),,City: Midsize,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,4-Moderately,$40.218,$11.680,$55.898,24-25,Both,57,"98,3%",$30.307,$23.207,CDS24,$1.7m,No,,,,,,TBD,-,71%
Arcadia University,https://www.arcadia.edu,Glenside,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$49.610,$14.380,$67.990,24-25,Merit,No data,,No data,,,,N/A,$28.000,Distinguished Scholarship,https://www.arcadia.edu/arcadia-university-admissions/financial-aid/aid-for-undergraduates/,The highest academic merit award. Students are automatically considered for this scholarship when they apply for admission. No separate application is required. Renewable for four years.,$21.610,$39.990,Automatic consideration,79%
Arizona State University-Tempe,https://www.asu.edu,Tempe,AZ,Arizona,Public,Southwest,"Phoenix, AZ",City: Midsize,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$33.139,$16.712,$53.851,24-25,Merit,2.520,"51,4%",$12.182,$40.102,CDS24,$30.7m,N/A,$17.500,New American University Scholarship,https://admission.asu.edu/cost-aid/international,Awarded to international students based on a holistic review of their academic record (GPA) and English proficiency test scores. No separate application is required; students are automatically considered upon admission.,$15.639,$36.351,Automatic consideration,"90,2%"
Arkansas State University,https://www.astate.edu,Jonesboro,AR,Arkansas,Public,South (Central),,City: Small,10K - 20K,Coeducational,No,Professional,High,Off-campus,0-None,$13.826,$10.100,$27.926,23-24,Merit,334,"53,5%",$7.063,$20.863,CDS24,$2.4m,N/A,,,,,,TBD,-,"64,9%"
Auburn University,https://www.auburn.edu,Auburn,AL,Alabama,Public,Southeast (Deep South),,City: Small,20K+,Coeducational,No,Professional,High,On-campus,1-Historically,$34.922,$16.626,$55.548,24-25,Merit,,,,,,,N/A,$17.000,Presidential Scholarship,https://www.auburn.edu/scholarship/undergraduate/competitive-merit.php,For non-resident students. Consideration is automatic for students who apply for admission by the deadline. Selection is based on high school GPA and standardized test scores (ACT/SAT).,$17.922,$38.548,Automatic consideration,"46,0%"
Auburn University at Montgomery,https://www.aum.edu,Montgomery,AL,Alabama,Public,Southeast (Deep South),,City: Midsize,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$25.960,$7.368,$37.328,24-25,Merit,163,"83,6%",$8.657,$22.803,CDS24,$1.4m,N/A,$2.000,AUM Scholarship,https://www.aum.edu/scholarship/international-undergrad-aum-scholarship/,For international undergraduate students. Freshmen are considered based on high school GPA or language test scores. Transfer students are considered based on their college GPA. No separate application needed.,$23.960,$35.328,,"92,5%"
Augustana College,https://www.augustana.edu,Rock Island,IL,Illinois,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,$51.598,$13.070,$68.668,24-25,Both,345,"85,0%",$34.458,$31.542,CDS24,$11.9m,No,$30.000,Presidential Scholarship,https://www.augustana.edu/admissions/scholarships,The highest Merit Scholarship awarded to first-year students at the time of admission. No separate application is necessary. Renewable with a cumulative GPA of 3.0.,$21.598,$38.668,Automatic consideration,"67,6%"
Austin College,https://www.austincollege.edu,Sherman,TX,Texas,Private,South (Central),"Dallas, TX",City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$48.655,$13.342,$65.997,24-25,Merit,13,"100,0%",$34.242,$29.316,CDS24,$0.4m,N/A,$32.000,Presidential Scholarship,https://www.austincollege.edu/admission/financial-aid/scholarships/,"A top merit-based scholarship. Students are automatically considered with their application for admission. Selection is based on academic achievement, leadership, and service.",$16.655,$33.997,Automatic consideration,"71,1%"
Babson College,https://www.babson.edu,Babson Park,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$57.152,$21.550,$82.702,24-25,Both,91,"11,8%",$47.628,$33.190,CDS24,$4.3m,Yes (Need-aware),Full ride+stipend,Global Scholarship plus need-based supplement,https://www.babson.edu/undergraduate/admission/tuition-and-financial-aid/international-students/,"A four-year, full-tuition scholarship for international students. Admission is need-aware. Requires the CSS PROFILE for consideration. Aims to admit highly qualified candidates from around the world.",$0,$0,Automatic consideration,20%
Baker University,https://www.bakeru.edu,Baldwin City,KS,Kansas,Private,Midwest (Great Plains),,Rural: Distant,1K - 9K,Coeducational,No,Professional,High,On-campus,2-Slightly,$35.200,$11.250,$50.450,24-25,Merit,33,"68,2%",$26.765,$21.755,USN25,$0.9m,N/A,,,,,,,-,92%
Baldwin Wallace University,https://www.bw.edu,Berea,OH,Ohio,Private,Midwest (Great Lakes),,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,1-Historically,$39.832,$13.774,$57.606,24-25,Merit,6,"75,0%",$19.019,$36.247,CDS24,$0.1m,N/A,$15.000,Baldwin Scholarship,https://www.bw.edu/undergraduate-admission/first-year/tuition/,A merit-based scholarship for first-year undergraduate students. Students are automatically considered upon admission to the university. No separate application is required.,$24.832,$42.606,Automatic consideration,"76,8%"
Ball State University,https://www.bsu.edu,Muncie,IN,Indiana,Public,Midwest (Great Lakes),,City: Small,20K+,Coeducational,No,Professional,High,On-campus,0-None,$29.630,$12.334,$45.964,24-25,Merit,104,"100,0%",$21.205,$23.625,CDS24,$2.2m,N/A,$16.000,Global Honors Scholarship,https://www.bsu.edu/admissions/financial-aid-and-scholarships/types/scholarships,This appears to be the former name. The current top merit award for international students is the Global Distinction Scholarship. Students are automatically considered upon admission. Renewable with a 2.5 GPA.,$13.630,$29.964,Automatic consideration,"71,6%"
Bard College,https://www.bard.edu,Annandale,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Rural: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$67.366,$19.510,$90.876,24-25,Need,211,"62,6%",$58.322,$28.270,CDS23,,Yes (Need-aware),,,,,,,,46%
Barnard College,https://www.barnard.edu,New York,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,1K - 9K,Women's,No,Arts and Sciences,Exclusively,On-campus,0-None,$69.888,$19.020,$92.908,24-25,Need,65,"14,4%",$43.317,$47.511,CDS24,$2.8m,Yes (Need-aware),,,,,,,,8%
Barton College,https://www.barton.edu,Wilson,NC,North Carolina,Private,Southeast,,Town: Fringe,1K - 9K,Coeducational,No,Professional,Very High,On-campus,2-Slightly,$37.000,$12.024,$53.024,24-25,Both,50,"100,0%",$28.838,$23.812,CDS24,$1.4m,No,,,,,,TBD,-,96%
Bates College,https://www.bates.edu,Lewiston,ME,Maine,Private,Northeast (New England),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$66.590,$18.780,$89.370,24-25,Need,96,"57,5%",$69.714,$15.668,CDS24,$6.7m,Yes (Need-aware),,,,,,,-,"13,1%"
Baylor University,https://www.baylor.edu,Waco,TX,Texas,Private,South (Central),"Dallas, TX",City: Midsize,20K+,Coeducational,No,Professional,High,On-campus,5-Very,$58.100,$15.922,$78.022,24-25,Merit,297,"66,9%",$24.763,$48.316,CDS24,$7.4m,N/A,$20.000,Invitation to Excellence,https://admissions.web.baylor.edu/costs-aid/scholarships-aid/merit-based-scholarships,An invitation-only event for high-achieving students who apply by the priority deadline. Attendees receive a scholarship. Selection is based on a holistic review of the admission application.,$38.100,$58.022,By invitation only,"51,0%"
Belmont University,https://www.belmont.edu,Nashville,TN,Tennessee,Private,Southeast,,City: Large,5K - 10K,Coeducational,No,Professional,High,On-campus,4-Moderately,$42.540,$15.010,$61.550,24-25,Merit,50,"73,5%",$27.583,$32.027,CDS24,$1.4m,N/A,,,,,,TBD,-,96%
Beloit College,https://www.beloit.edu,Beloit,WI,Wisconsin,Private,Midwest (Great Lakes),,City: Small,<1K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$60.886,$11.264,$76.150,24-25,Both,128,"100,0%",$44.747,$28.547,CDS24,$5.5m,No,$40.000,Presidential Scholarship,https://www.beloit.edu/admission/tuition-aid/merit-scholarships/,The highest Merit Scholarship offered. All applicants for admission are automatically considered. Based on exceptional scholastic achievement.,$20.886,$36.150,Automatic consideration,"57,4%"
Benedict College,https://www.benedict.edu,Columbia,SC,South Carolina,Private,Southeast (Deep South),,City: Midsize,1K - 9K,Coeducational,Yes,Professional,Very High,On-campus,4-Moderately,$18.348,$7.146,$29.494,24-25,Pending,No data,,No data,,,,,,,,,,,-,67%
Bennington College,https://www.bennington.edu,Bennington,VT,Vermont,Private,Northeast (New England),,Town: Distant,<1K,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$66.262,$19.108,$89.370,24-25,Both,114,"93,4%",$60.779,$26.505,CDS24,$6.9m,No,,,,,,TBD,-,"48,0%"
Bentley University,https://www.bentley.edu,Waltham,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Small,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$61.480,$20.140,$85.620,24-25,Merit,272,"45,1%",$21.364,$59.986,CDS24,$5.8m,N/A,50% tuition,President Scholarship and others,https://www.collegexpress.com/scholarships/bentley-presidents-scholarship/2001480/,The President Scholarship is the most prestigious merit award. Students are automatically considered based on their admission application. No separate application needed. Selection is based on academic excellence.,$30.740,$54.880,Unclear,48%
Berea College,https://www.berea.edu,Berea,KY,Kentucky,Private,Southeast,,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$49.326,$7.892,$61.218,23-24,Both,,"100,0%",N/A,N/A,,,Yes (Need-aware),Full ride,Automatic,https://www.berea.edu/costs-and-financial-aid-for-international-students,Berea College provides 100% funding to all enrolled international students for the first year of enrollment. This combines financial aid and scholarships. A separate application is not required.,$0,$4.000,Automatically Awardarded,33%
Berry College,https://www.berry.edu,Mount Berry,GA,Georgia,Private,Southeast (Deep South),,Suburb: Small,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,1-Historically,$41.486,$15.094,$60.580,24-25,Merit,9,"100,0%",$39.577,$19.069,USN25,$0.4m,N/A,not specified,Presidential Scholarship,https://www.berry.edu/scholarships-and-aid/berry-scholarships,"A competitive, premier scholarship program. Requires a separate application after being admitted to Berry. Finalists are invited to an on-campus competition.",,,Automatic consideration,62%
Bethel College,https://www.bethelks.edu,North Newton,KS,Kansas,Private,Midwest (Great Plains),,Town: Distant,<1K,Coeducational,No,Professional,Exclusively,On-campus,2-Slightly,$35.014,$10.755,$49.769,24-25,Merit,21,"100,0%",$21.427,,USN25,$0.4m,N/A,$11.000,Thresher Scholarship,https://www.bethelks.edu/affordability/build-your-award,This is an academic scholarship based on high school GPA. Students are automatically considered when they are admitted. No separate application is required.,$24.014,$38.769,Automatic consideration,96%
Bethune-Cookman University,https://www.cookman.edu,Daytona Beach,FL,Florida,Private,Southeast,,City: Large,1K - 9K,Coeducational,Yes,Balanced,Very High,On-campus,3-Somewhat,$14.794,$10.396,$29.190,24-25,Both,43,"84,3%",$16.796,$12.394,USN25,,No,Full ride+stipend,Presidential Scholarship,https://www.cookman.edu/admissions/brochure-scholarships-2020-2021-with-totals.pdf,"Based on the provided PDF, this is the highest-tier academic scholarship. Awarded based on specific high school GPA and SAT/ACT scores. Automatic consideration with admission application.",$0,$3.500,Automatic consideration,99%
Biola University,https://www.biola.edu,La Mirada,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,5K - 10K,Coeducational,No,Balanced,Majority,Off-campus,6-Primarily,$48.984,$13.130,$66.114,24-25,Merit,197,"85,7%",$22.692,$39.246,CDS24,$4.5m,N/A,$22.000,President Scholarship,https://www.biola.edu/financial-aid/scholarships-and-aid/undergrad/biola-scholarships,"The highest academic scholarship for incoming freshmen, based on GPA and test scores (if submitted). Students are automatically considered upon admission. Renewable based on maintaining a specific GPA.",$26.984,$44.114,Automatic consideration,61%
Boise State University,https://www.boisestate.edu,Boise,ID,Idaho,Public,West (Rocky Mountains),,City: Midsize,20K+,Coeducational,No,Professional,High,On-campus,0-None,$27.788,$14.884,$46.672,24-25,Merit,85,"62,0%",$6.631,$40.955,CDS24,$0.6m,N/A,$18.000,Global Excellence Award,https://www.boisestate.edu/global-international/cost-and-scholarships/undergraduate-scholarships/,"A competitive, merit-based scholarship for new international undergraduate students. Requires a separate scholarship application, essays, and letters of recommendation.",$9.788,$28.672,Requires application,"83,9%"
Boston College,https://www.bc.edu,Chestnut Hill,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Small,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,3-Somewhat,$70.702,$18.916,$93.618,24-25,Merit,No data,No data,No data,No data,,,N/A,Full Tuition,Gabelli Presidential Scholars Program,https://www.bc.edu/bc-web/academics/sites/gabelli-presidential-scholars-program.html,"A highly competitive, 15-person undergraduate Merit Scholarship program. Requires a separate application. Focuses on academic excellence, leadership, and community service.",$0,$22.916,Automatic consideration,"14,7%"
Boston University,https://www.bu.edu,Boston,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$68.102,$19.020,$91.122,24-25,Merit,225,"5,8%",$45.811,$41.467,CDS24,$10.3m,N/A,Full Tuition,Trustee Scholarship,https://www.bu.edu/admissions/tuition-aid/scholarships-financial-aid/first-year-merit/trustee/,"BU's most prestigious Merit Scholarship. Requires a separate application with an additional essay. Awarded to students with exceptional academic credentials, leadership, and unique talents.",$0,$23.020,Requires application,"10,9%"
Bowdoin College,https://www.bowdoin.edu,Brunswick,ME,Maine,Private,Northeast (New England),,Town: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$67.832,$18.488,$90.320,24-25,Need,83,"66,4%",$77.156,$9.444,CDS24,$6.4m,Yes (Need-blind),,,,,,,,"8,0%"
Bowling Green State University,https://www.bgsu.edu,Bowling Green,OH,Ohio,Public,Midwest (Great Lakes),,Town: Fringe,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$21.900,$12.166,$38.066,24-25,Merit,148,"98,0%",$17.248,$19.914,USN25,$2.6m,N/A,Full Tuition,Sidney A. Ribeau President's Leadership Academy,https://www.bgsu.edu/president-leadership-academy.html,A competitive scholarship for students with a passion for leadership and learning. Requires a separate application and an on-campus interview for finalists. Focuses on leadership experience and potential.,$0,$16.166,Requires application,81%
Bradley University,https://www.bradley.edu,Peoria,IL,Illinois,Private,Midwest (Great Lakes),,City: Midsize,5K - 10K,Coeducational,No,Professional,High,On-campus,1-Historically,$42.160,$13.500,$59.660,24-25,Merit,84,"98,8%",$33.693,$22.837,CDS24,$2.8m,N/A,$27.000,Presidential Scholarship,https://www.bradley.edu/offices/student/sfs/financial-assistance/assistance/,The most prestigious merit-based scholarship. Awarded to the highest-achieving new students. Automatic consideration based on the application for admission.,$15.160,$32.660,Automatic consideration,"76,7%"
Brandeis University,https://www.brandeis.edu,Waltham,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Small,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,2-Slightly,$68.080,$18.584,$90.664,24-25,Both,153,"20,1%",$45.081,$42.961,CDS24,$6.9m,Yes (Need-aware),Demonstrated Need,Wein International Scholarship,https://www.brandeis.edu/isso/programs/wien/index.html,"For international students with strong academic records and a history of leadership. Requires a separate application, including a nomination form and essays. Focuses on students who will contribute to the campus community.",$0,$0,Requires application,"35,3%"
Bridgewater College,https://www.bridgewater.edu,Bridgewater,VA,Virginia,Private,Southeast,,Suburb: Small,1K - 9K,Coeducational,No,Balanced,Very High,Off-campus,2-Slightly,$16.090,$14.850,$34.940,24-25,Both,46,"64,8%",$37.434,$22.286,USN25,$1.7m,,,,,,,xxx,-,91%
Brigham Young University-Provo,https://www.byu.edu,Provo,UT,Utah,Private,West (Rocky Mountains),,City: Midsize,20K+,Coeducational,No,Balanced,Very High,On-campus,6-Primarily,$6.688,$10.396,$21.084,24-25,Merit,630,"70,2%",$6.542,$13.674,CDS24,$4.1m,N/A,Full Tuition,Russell M. Nelson Scholarship,https://enrollment.byu.edu/financial-aid/new-freshman-scholarships,"The most prestigious scholarship for entering freshmen. All students who complete the general scholarship application are considered. Selection is based on academic excellence, leadership, and service.",$0,$14.396,Automatic consideration,"69,2%"
Brown University,https://www.brown.edu,Providence,RI,Rhode Island,Private,Northeast (New England),,City: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$71.312,$17.444,$92.756,24-25,Need,265,"29,9%",$78.765,$10.063,CDS24,$20.9m,Yes (Need-blind),,,,,,,,"5,2%"
Bryant University,https://www.bryant.edu,Smithfield,RI,Rhode Island,Private,Northeast (New England),,Suburb: Large,1K - 9K,Coeducational,No,Professional,Very High,On-campus,0-None,$52.677,$17.860,$74.537,24-25,Merit,148,"86,2%",$30.937,,USN25,$4.6m,N/A,$40.000,Academic Scholarship,https://www.bryant.edu/admission-bryant/undergraduate-admission/undergraduate-financial-aid-and-tuition/scholarships-grants,"Merit-based scholarships, including the top-tier President Scholarship, are awarded based on the admission application. No separate application is needed. Awards are based on academic achievement.",$12.677,$34.537,Automatic consideration,66%
Bryn Mawr College,https://www.brynmawr.edu,Bryn Mawr,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Women's,No,Arts and Sciences,High,On-campus,1-Historically,$65.920,$19.400,$89.320,24-25,Need,75,"42,4%",$69.529,$15.721,CDS24,$5.2m,Yes (Need-aware),,,,,,,-,31%
Bucknell University,https://www.bucknell.edu,Lewisburg,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$67.812,$16.924,$88.736,24-25,Both,114,"67,5%",$63.010,$21.880,CDS24,$7.2m,No,$30.000,Presidential Fellowships,https://www.bucknell.edu/admissions-aid/tuition-fees-financial-aid/scholarship-programs/presidential-fellowships,A research-focused program for top students. Students receive a stipend for a summer research project with a faculty mentor. Automatic consideration for top applicants; no separate application required.,$37.812,$58.736,Requires application,"32,0%"
Butler University,https://www.butler.edu,Indianapolis,IN,Indiana,Private,Midwest (Great Lakes),,City: Large,5K - 10K,Coeducational,No,Professional,High,On-campus,2-Slightly,$47.560,$17.250,$68.810,24-25,Merit,,,,,,,N/A,$25.000,Academic Scholarships,https://www.butler.edu/admission-aid/financial-aid-scholarships/international/,"International students are automatically considered for merit-based scholarships upon admission. Awards are based on the strength of the application, including academic performance. No separate application required.",$22.560,$43.810,Automatic consideration,"85,9%"
Cal Poly-Pomona (California State Polytech. U.),https://www.cpp.edu,Pomona,CA,California,Public,West Coast,"Los Angeles, CA",Suburb: Large,20K+,Coeducational,No,Professional,Very High,On-campus,0-None,$19.318,$16.682,$40.000,24-25,None,,,,,,,N/A,,,,,,,,"73,1%"
Cal Poly-San Luis Obispo (Cal. Polytech. State,https://www.calpoly.edu,San Luis Obispo,CA,California,Public,West Coast,,Suburb: Small,20K+,Coeducational,No,Professional,Very High,Off-campus,0-None,$20.112,$18.225,$42.337,24-25,Merit,44,"17,9%",$9.743,$42.472,CDS24,$0.4m,N/A,N/A (enrolled),,,,,,Requires application,"29,7%"
Caldwell University,https://www.caldwell.edu,Caldwell,NJ,New Jersey,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$40.848,$14.188,$59.036,24-25,Merit,245,"100,0%",$26.649,$30.577,USN25,$6.5m,N/A,,,,,,,-,66%
California Baptist University,https://www.calbaptist.edu,Riverside,CA,California,Private,West Coast,"Los Angeles, CA",City: Large,10K - 20K,Coeducational,No,Professional,High,On-campus,5-Very,$41.228,$12.140,$57.368,24-25,Both,36,"23,4%",$28.364,$26.986,CDS24,$0.8m,No,,,,,,TBD,-,74%
California College of the Arts,https://www.cca.edu,San Francisco,CA,California,Private,West Coast,SF/Silicon Valley,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$57.946,$21.165,$83.111,23-24,Pending,No data,,No data,,,,,,,,,,,-,76%
California Institute of Technology (Caltech),https://www.caltech.edu,Pasadena,CA,California,Private,West Coast,"Los Angeles, CA",City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Minority,Off-campus,0-None,$65.898,$20.283,$90.181,24-25,Need,63,"50,0%",$74.155,$12.603,CDS24,$4.7m,Yes (Need-aware),,,,,,,,3%
