University/College Name,City,State,Name of the state,In US News national T25/ LAC T5?,In US News or Forbes national T100 / LAC T40,In Times Higher Education or QS Global Top 200?,Control,Region,Accessible to Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Religious affiliation/influence,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,COA from year,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Source,Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Name and info,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,University/College Name,Name of Biggest Scholarship,Bigges Scholarship's Link,Scholarship's Information,How to apply,Aid application award rate,"First-time, full- time first-year students whose need was fully met","First-time, full-time first-year students (enrolled) - Average percent of need met",Acceptance rate,International admission rate,Admission rate data from class year,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,International admission rate/yield data source,Acceptance rate data source,Number of countries represented among admitted students,Regular Decision acceptance rate,Regular Decision acceptance rate from class year,Early plan offered?,Early Decision 2 offered?,Early Decision acceptance rate,Early Decision acceptance rate from year,Early Decision advantage over Regular Decision,Percent of class of 2027 filled ED,Early Action acceptance rate,Early Action acceptance rate from class year,Early Action advantage over Regular Decision,Testing Requirements,Percent of accepted students who submitted SAT scores,Percent of accepted students who submitted ACT scores,SAT comp 50%ile,SAT Math 25%ile,SAT Math 75%ile,SAT EBRW 25%ile,SAT EBRW 75%ile,ACT comp 25%ile,ACT comp 50%ile,ACT compo 75%ile,ACT math 25%ile,ACT math 75%ile,ACT English 25%ile,ACT English 75%ile,ACT Reading 25%ile,ACT Reading 75%ile,ACT Science 25%ile,ACT Science 75%ile,Testing - main data source,International 4-year graduation rate (IPEDS),International 5-year graduation rate (IPEDS),International 6-year graduation rate (IPEDS),Percent of international graduates who take longer than 4 years,International transfer-out rate,International transfer-out rate,Early Decision application deadline,Early Action application deadline,Priority Deadline,Rolling admission?,Regular Decision deadline,Accepts applications after deadline on space available basis?,Early Action/Early Decision document deadline,Early Action/Early Decision financial aid deadline,Latest testing for Early Action/Early Decision,Early Action/Early Decision notification date,Early Decision 2 Application deadline,Early Decision 2 Financial aid deadline,Early Decision 2 Notification Date,Regular Decision document deadline,Latest testing accepted Regular Decision,Regular Decision/only financial aid deadline,Regular Decision notification date,Latest CDS available,US News National Universities 2025,Times Higher Education 2024 World Universities,THE - rank within USA,QS World Universities,QS World Universities (within United States),WSJ Best Colleges Rank,WSJ Best Colleges Score,US News National Liberal Arts Colleges,QS World International student rank,QS World International Student score,US News Undergrad CS,US News CS: AI,QS Computer Science,CSRankings.org Overall ranking,US News Undergraduate Business,QS Business,US News Undergrad Economics,US News Top 50 engineering? either doctorate or non-doctorate,US News Undergrad Engineering programs: Doctorate,US News Undergrad Engineering programs: Non- Doctorate,US News Undergrad Mechanical Engineering,US News Undergrad Electrical Engineering,US News Undergraduate Computer Engineering,US News Undergrad Biomedical Engineering,US News Undergrad Chemical Engineering,Range between average temperatures (coldest and hottest months) (°C),Coldest month (2023),Coldest montly avg low in 2023 (°C),Average temp in 2023 (°C),Warmest monthly avg high in 2023 (°C),Warmest month (2023),Driest month in 2023,Lowest monthly rainfall (cm),Average monthly rainfall (cm),Highest monthly rainfall (cm),Rainest month in 2023,"Abortion law status (NYT, as of October 28, 2024)",Currently legal until,"Gun deaths (non- suicide) per 100,000, 2018-2022, by county (Dept. of Health)","On-campus violent crimes (non-sexual) reported 2018-2022, average per year (OPE)",On-campus rapes/sexual assaults reported 2018-2022 - average per year (OPE),Source_List
Cornell University,Ithaca,NY,New York,Yes,Yes,Yes,Private,Northeast (Mid-Atlantic),,City: Small,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,None,$0,$69.314,$19.428,$92.742,24-25,Both,334,"28,4%",$83.060,$5.508,CDS24,$27.7m,Yes (Need-aware),Demonstrated Need,,$0,,Cornell University,Tata Scholarship,https://admissions.cornell.edu/how-to-apply/first-year-international-applicants,This is a need-based scholarship for undergraduate students from India. Applicants must apply for financial aid along with their admission application to be considered.,Automatic consideration,64%,51%,80%,"7,9%","2,8%",2027,66%,75%,16839,478,358,CDS24,CDS24,107,"6,3%",2027,Early Decision only,,"17,6%",2027,2.8x,47%,,,,Rec.*,42%,14%,1520,760,790,720,770,33,34,35,32,35,34,36,,,,,CDS24,84%,91%,95%,12%,,No,11/1/2024,,,,1/2/2025,,11/15/2024,11/15/2024,Not specified,Mid-December,,,,,December,2/15/2025,,23-24,11,20,13,13,7,24,"82,7",,237,"63,4",7,7,13,9,9,38,11,Yes,10,,10,7,11,14,13,"22,54",Feb,"-6,57","9,29","27,64",Jul,Feb,"34,37","87,9","153,0",Jun,Legal,Viability,"0,8","34,8","32,8",generous_aid
Dartmouth College,Hanover,NH,New Hampshire,Yes,Yes,Yes,Private,Northeast (New England),,Town: Remote,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,None,$0,$68.019,$19.749,$91.768,24-25,Need,418,"69,3%",$81.378,$7.142,CDS24,$34.0m,Yes (Need-blind),,,,,Dartmouth College,,,,,61%,49%,80%,"5,3%",,2028,67%,,8898,-,174,,WEBPR,68,"3,58%",2028,Early Decision only,,"17,0%",2028,4.8x,52%,,,,Required,43%,24%,,760,790,740,780,33,34,35,31,35,35,36,,,,,CDS24,73%,83%,91%,20%,,No,11/1/2024,,,,1/2/2025,,,11/1/2024,November,Mid-December,,,,,December,2/1/2025,,23-24,15,161,49,237,45,21,"83,4",,351,"40,9",40,,237,68,,145,15,,51,,,40,,,,"25,85",Feb,"-9,41","9,38","28,83",Jul,Feb,"44,78","104,0","254,7",Jul,Legal,24 weeks,"1,5",0,"30,4",generous_aid
Davidson College,Davidson,NC,North Carolina,,Yes,,Private,Southeast (Deep South),,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,Mainline Protest,$0,$64.160,$17.100,$85.260,24-25,Both,118,"64,1%",$58.700,$21.750,CDS24,$6.9m,Yes (Need-aware),Full ride+stipend,,$0,-$1.000,Davidson College,William Holt Terry Scholarship and Berk Scholarship,https://www.davidson.edu/admission-and-financial-aid/financial-aid/types-financial-aid/scholarships/nomination-scholarships,These are nomination-based scholarships. Students must be nominated by their Head of School or Counselor. They cannot self-apply. Finalists are chosen from the nominee pool.,Automatic consideration,68%,54%,79%,"14,5%","4,5%",2027,49%,47%,2756,125,59,CDS24,CDS24,,"11,2%",2027,Early Decision only,Yes,"35,2%",2027,3.1x,68%,,,,Optional,30%,27%,,670,760,690,750,31,32,34,,,,,,,,,CDS24,82%,88%,91%,10%,,No,11/15/2024,,,,1/13/2025,,,,Not specified,12/16/2024,1/6/2025,,1/31/2025,,,,4/1/2025,23-24,,,,,,30,"81,2",14,,,240,,,,,,93,,,,,240,,,,"18,78",Dec,"0,25","15,75","31,76",Jul,Oct,"26,19","95,4","164,6",Dec,Limited,6 weeks,"8,9","4,6","12,6",generous_aid
Duke University,Durham,NC,North Carolina,Yes,Yes,Yes,Private,Southeast,"Raleigh, NC",City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Minority,On-campus,2-Slightly,Mainline Protest,$0,$69.140,$19.799,$92.939,24-25,Both,177,"27,0%",$83.486,$3.777,CDS24,$14.8m,Yes (Need-aware),Full ride,,$0,$4.000,Duke University,"Karsh International Scholarship, Robertson Scholarship",https://ousf.duke.edu/merit-scholarships/robertson-scholars-program/+%7C+https://ousf.duke.edu/merit-scholarships/karsh-international-scholars-program/,"Karsh: Fully funded scholarship for international students with demonstrated financial need. No separate application; apply for admission and financial aid. Robertson: Separate, extensive application process. Leadership-focused program for students at Duke and UNC-Chapel Hill.",Automatic consideration,51%,36%,71%,"5,1%",4%,2028,55%,-,,-,USN25,,WEBPR,,"4,1%",2028,Early Decision only,,"12,9%",2028,3.1x,46%,,,,Optional,47%,30%,1550,780,800,740,770,34,35,35,33,35,35,36,34,36,34,36,USN25,81%,90%,90%,10%,,,11/4/2024,,,,1/2/2025,,,11/1/2024,November,Mid-December,,,,,January,2/1/2025,,22-23,6,26,17,57,18,,,,243,61,19,20,57,27,,53,15,Yes,20,,23,19,19,3,,"18,98",Dec,"0,95","16,36","32,84",Jul,Oct,"45,87","104,1","205,2",Apr,Limited,12 weeks,"10,9",51,"16,2",generous_aid
Georgia State University,Atlanta,GA,Georgia,,,,Public,Southeast (Deep South),,City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,None,$5.000,$30.720,$16.002,$50.722,24-25,Merit,342,"31,5%",$3.285,$40.752,CDS24,$1.1m,N/A,Full ride+stipend,,$0,$2.000,Georgia State University,Stamps and Presidential Scholarships,https://honors.gsu.edu/scholars/,"GSU's most prestigious scholarships, administered through the Honors College. Requires an application to the Honors College by the deadline. Open to all first-year applicants.",Requires application,96%,85%,89%,"52,5%","49,6%",2027,25%,17%,2695,1338,231,CDS24,CDS24,,52%,2027,Early Decision only,,,,,,,,,Optional,33%,13%,1100,470,620,500,590,19,22,26,17,26,18,26,20,29,20,29,CDS24,56%,71%,73%,23%,9%,,,,,,11/15/2024,,,,Not specified,,,,,,,,,23-24,196,401,87,851,125,369,"46,7",,701,"10,4",145,,851,134,53,251,102,,,,,145,,,,"18,62",Dec,"2,7","17,65","33,21",Jul,Nov,"40,42","104,1","223,8",Jan,Limited,6 weeks,"14,1",0,"11,6",generous_aid
Governors State University,University Park,IL,Illinois,,,,Public,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Balanced,Majority,Off-campus,0-None,None,$0,$14.506,$10.360,$28.866,24-25,Merit,36,"100,0%",$27.766,-$1.586,USN25,,N/A,Full ride+stipend,,$0,$3.500,Governors State University,Presidential Scholarship,https://www.govst.edu/presidential-scholarships/,A premier scholarship program for high-achieving students. Requires a separate application after being admitted. Finalists must participate in an interview. Only 2 slots per year,Requires application,91%,41%,45%,48%,,2027,,,,,,,USN25,,,,Early Decision only,,,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"22,59",Feb,"-4,97","11,20","28,63",Jul,Nov,"28,06","79,4","152,4",Jul,Legal,Viability,"4,1",0,"1,2",generous_aid
Hampden-Sydney College,Hampden-Sydne,VA,Virginia,,,,Private,Southeast,,Rural: Distant,<1K,Men's,No,Arts and Sciences,Exclusively,On-campus,1-Historically,Mainline Protest,$10.000,$54.550,$16.732,$75.282,24-25,Merit,5,"95,1%",$61.577,$9.921,USN25,$0.1m,N/A,Full ride+stipend,,$0,$2.000,Hampden-Sydney College,Madison Scholarship,https://www.hsc.edu/documents/FinAid/scholarships/MadisonScholarship.pdf,"A premier Merit Scholarship. A separate application is required, including an essay and recommendation letter. Focuses on academic excellence and leadership.",By invitation only,92%,73%,79%,50%,37%,2027,22%,,-,-,,USN25,USN25,,,,Both,,50%,2027,,100%,,,,Rec.,15%,3%,1160,520,610,540,620,22,26,31,21,28,20,30,,,,,USN25,,,,,,Yes,,,,,,,,,,,,,,,,,,22-23,,,,,,,,103,,,,,,,,,277,,,,,,,,,"19,09",Dec,"0,06","14,56","30,52",Jul,Mar,"32,83","105,8","239,8",Jul,Legal,Viability,no data,0,"2,2",generous_aid
Harvard University,Cambridge,MA,Massachusetts,Yes,Yes,Yes,Private,Northeast (New England),"Boston, MA",City: Midsize,20K+,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,None,$0,$61.676,$21.190,$86.866,24-25,Need,711,"72,2%",$75.088,$8.362,CDS24,$53.4m,Yes (Need-blind),,,,,Harvard University,,,,,66%,57%,86%,"3,7%","1,9%",2028,84%,89%,15934,301,268,CDS24,WEBPR,,"2,7%",2028,REarly Action Only,,,,,,"8,7%",2028,3.2x,Required,52%,22%,,760,800,740,780,34,35,36,33,36,35,36,34,36,33,36,CDS24,80%,90%,96%,17%,,Yes,,11/1/2024,,,1/1/2025,,11/8/2024,11/1/2024,November,Mid-December,,,,1/8/2025,February,2/1/2025,,23-24,3,4,3,4,2,6,"89,5",,215,69,13,11,4,41,,1,5,Yes,27,,30,13,,21,,"22,87",Feb,"-4,57","11,62","29,46",Jul,Feb,"37,77","124,5","249,8",Jul,Legal,Viability,"0,5","58,4","31,8",generous_aid
Haverford College,Haverford,PA,Pennsylvania,,Yes,,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,1-Historically,None,$0,$70.398,$19.170,$93.568,24-25,Need,56,"36,4%",$85.402,$5.498,CDS24,$4.8m,Yes (Need-aware),,,,,Haverford College,,,,,58%,44%,76%,"12,9%","4,7%",2027,45%,46%,2645,123,57,CDS24,CDS24,,"10,7%",2027,Early Decision only,Yes,"33,1%",2027,3.1x,55%,,,,Optional,40%,14%,1480,720,780,710,760,33,34,35,30,34,33,35,34,36,33,35,CDS24,79%,87%,95%,17%,5%,No,11/15/2024,,,,1/10/2025,,,,Not specified,12/15/2024,1/5/2025,,early February,,,,,23-24,,,,,,41,"79,4",24,,,240,,,,,,,,,,,240,,,,"20,75",Feb,"-0,28","13,68","30,62",Jul,Oct,"22,43","96,9","195,1",Dec,Legal,24 weeks,"7,4",0,"8,2",generous_aid
Massachusetts Institute of Technology (MIT),Cambridge,MA,Massachusetts,Yes,Yes,Yes,Private,Northeast (New England),"Boston, MA",City: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,Minority,On-campus,0-None,None,$0,$62.396,$20.280,$86.676,24-25,Need,379,"74,2%",$72.712,$10.834,CDS24,$27.6m,Yes (Need-blind),,,,,Massachusetts Institute of Technology (MIT),,,,,79%,61%,77%,"4,5%",,2028,85%,-,,-,,,WEBPR,,"3,92%",2028,Early Action Only,,,,,,"5,3%",2028,1.3x,Required,83%,31%,1550,780,800,730,780,34,35,36,34,36,34,36,34,36,34,36,USN25,86%,90%,91%,5%,,Yes,,11/1/2024,,,1/6/2025,,,11/30/2024,November,Mid-December,,,,1/6/2025,December,2/15/2025,,22-23,2,3,2,1,1,2,"90,4",,143,"86,8",2,2,1,8,2,5,1,Yes,1,,1,2,1,4,1,"22,87",Feb,"-4,57","11,62","29,46",Jul,Feb,"37,77","124,5","249,8",Jul,Legal,Viability,"0,5",0,15,generous_aid
Meredith College,Raleigh,NC,North Carolina,,,,Private,Southeast,"Raleigh, NC",City: Large,1K - 9K,Women's,No,Balanced,High,On-campus,1-Historically,None,$5.000,$45.630,$13.280,$62.910,24-25,Merit,48,"100,0%",$39.567,$21.289,USN25,,N/A,Full ride+stipend,,$0,$1.000,Meredith College,Meredith Full-Ride Merit Scholarship,https://www.meredith.edu/full-ride-scholarship/,Includes several full-ride scholarships. Requires a separate application and participation in a Scholars Weekend for finalists. Open to high-achieving first-year applicants.,Requires application,88%,77%,88%,75%,,2027,,,,,,,USN25,,,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75%,75%,75%,0%,25%,Yes,,,,,,,,,,,,,,,,,,N/A,,,,,,,,126,,,,,,,,,,,,,,,,,,"18,63",Dec,"1,99","16,69","32,58",Jul,Oct,"39,84","104,1","203,5",Dec,Limited,12 weeks,"3,1",0,1,generous_aid
Pitzer College,Claremont,CA,California,,Yes,,Private,West Coast,"Los Angeles, CA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,0-None,None,$0,$65.188,$22.150,$91.338,24-25,Both,47,"49,0%",$78.188,$9.878,CDS24,$3.7m,Yes (Need-aware),$5.000,,$60.188,$86.338,Pitzer College,Trustee Scholarship,"https://www.pitzer.edu/grants-scholarships#:~:text=Merit%20Scholarships,-Trustee%20Scholarship%20Academic&text=This%20%245%2C000%20per%20year%20renewable,no%20separate%20application%20is%20needed.",All applicants for admission are automatically considered for this merit-based scholarship. No separate application is needed.,Automatic consideration,49%,35%,71%,"16,7%","5,7%",2027,48%,62%,905,52,32,CDS24,CDS24,,"14,2%",2027,Early Decision only,Yes,"33,4%",2027,2.3x,53%,,,,None,No data,No data,,,,,,,,,,,,,,,,,,60%,64%,68%,12%,,No,11/15/2024,,,,1/6/2025,,,,,12/18/2024,1/6/2025,,2/15/2025,,,,4/1/2025,23-24,,,,,,,,36,,,,,,,,,,,,,,,,,,"15,25",Feb,"4,67","17,63","34,44",Jul,Jul,0,"60,4","260,1",Mar,Legal,Viability,"5,3",0,"7,2",generous_aid
Princeton University,Princeton,NJ,New Jersey,Yes,Yes,Yes,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,None,$0,$62.400,$20.250,$86.650,24-25,Need,514,"75,1%",$78.606,$4.484,CDS24,$40.4m,Yes (Need-blind),,,,,Princeton University,,,,,72%,61%,85%,"4,6%","2,4%",2028,77%,80%,9439,229,183,CDS24,WEBPR,103,3%,2027,REarly Action Only,,,,,,"10,0%",2027,3.3x,Optional,57%,20%,1540,760,800,740,780,34,34,35,32,35,35,36,34,36,33,35,CDS24,86%,95%,97%,11%,,Yes,,11/1/2024,,,1/1/2025,,,11/9/2024,October,Mid-December,,,,,December,2/1/2025,,23-24,1,6,4,17,10,1,"91,6",,264,"56,6",5,10,17,18,,87,1,Yes,12,,16,5,12,,11,"21,43",Feb,"-2,04","13,17","31,15",Jul,Oct,"41,2","104,5","209,6",Dec,Legal,No limit,"7,0","45,2",15,generous_aid
Smith College,Northampton,MA,Massachusetts,,Yes,,Private,Northeast (New England),England),City: Small,1K - 9K,Women's,No,Arts and Sciences,High,On-campus,1-Historically,None,$0,$65.178,$22.570,$91.748,24-25,Merit,140,"43,5%",$79.023,$7.855,CDS24,$11.1m,Yes (Need-aware),$22.500,,$42.678,$69.248,Smith College,Stride Scholarship,https://www.smith.edu/academics/applied-learning-research/stride-program,A program for students with strong academic records. Requires a separate application. Scholars receive a stipend and work as paid research assistants to a faculty member for two years.,Requires application,75%,61%,81%,"19,7%","5,3%",2027,33%,53%,3164,168,89,CDS24,CDS24,,"18,4%",2027,Early Decision only,Yes,"32,6%",2027,1.8x,47%,,,,Optional,33%,15%,1470,690,770,720,770,32,33,34,28,33,34,36,34,36,31,34,CDS24,89%,97%,98%,9%,0%,No,11/15/2024,,,,1/15/2025,,,CSS by Nov 15;,Not specified,Mid-December,1/1/2025,CSS by Jan 2; F,Late January,,,1/25/2025,,23-24,,,,,,312,"55,3",14,,,126,,,,,,65,Yes,,15,,126,,,,24,Feb,"-5,62","11,06","29,84",Jul,Feb,"46,39","122,2","280,0",Jul,Legal,Viability,"0,6",0,"3,6",generous_aid
Soka University of America,Aliso Viejo,CA,California,,,,Private,West Coast,"Los Angeles, CA",Suburb: Large,<1K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,Buddhist (Soka,$0,$38.728,$14.378,$57.106,24-25,Both,248,"98,8%",$51.377,$3.965,CDS24,$12.7m,Yes (Need-aware),Full ride+stipend,,$0,$0,Soka University of America,Global Merit Scholarship,https://catalog.soka.edu/types-of-financial-aid,All admitted students are automatically considered for this merit-based scholarship. No separate application is required.,Automatic consideration,98%,91%,93%,"69,5%","63,4%",2027,46%,69%,161,102,70,CDS24,CDS24,,74%,2027,Early Action Only,,,,,,"57,8%",2027,0.8x,Optional,25%,3%,1340,660,770,560,690,25,28,31,23,29,26,28,28,35,23,32,CDS24,89%,89%,89%,0%,,Yes,,,,,,,,,,,,,,,,,,23-24,,,,,,,,45,,,,,,,,,,,,,,,,,,"10,37",Feb,"7,31","17,04","27,25",Aug,Jul,0,"42,8","165,4",Mar,Legal,Viability,"1,7",0,"0,6",generous_aid
Swarthmore College,Swarthmore,PA,Pennsylvania,Yes,Yes,,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,Mainline Protest,$0,$65.494,$20.308,$89.802,24-25,Both,78,"33,8%",$77.679,$7.697,CDS24,$6.1m,Yes (Need-aware),Full Tuition,,$0,$24.308,Swarthmore College,McCabe Scholarship,https://www.swarthmore.edu/mccabe-scholars,"A scholarship for students from specific areas in Southeastern Pennsylvania, Delmarva Peninsula, and Montgomery County, MD. It is not an international student scholarship.",Automatic consideration,67%,52%,78%,"7,0%",3%,2028,42%,-,,-,-,USN25,WEBPR,84,"6,0%",2027,Early Decision only,Yes,"15,9%",2027,2.7x,52%,,,,Optional,40%,14%,1520,740,790,720,770,33,34,34,31,35,34,35,CDS24,,,,,76%,88%,88%,14%,,No,11/15/2024,,,,1/4/2025,,11/15/2024,11/15/2024,Not specified,Mid-December,1/4/2025,,Late-March,,February,1/4/2025,,23-24,,,,741,111,11,"85,9",3,520,"21,6",100,,741,,,,30,Yes,,30,,100,,,,"20,69",Feb,"0,17","14,06","31,03",Jul,May,"10,32","89,3","193,8",Dec,Legal,24 weeks,"7,4",0,"8,6",generous_aid
University of California-Berkeley,Berkeley,CA,California,Yes,Yes,Yes,Public,West Coast,SF/Silicon Valley,City: Midsize,20K+,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,None,$0,$51.032,$23.544,$78.576,24-25,Limited,,No data,No data,No data,,,N/A,Full ride+stipend,,$0,$0,University of California-Berkeley,Robinson International Scholars Program,https://financialaid.berkeley.edu/types-of-aid-at-berkeley/scholarships/regents-and-chancellors-scholarship/robinson-international-scholars-program/,An award that provides additional program funding and support for international students who have also been selected for the prestigious Regents' and Chancellor's Scholarship. Consideration is automatic upon admission.,Automatic consideration,73%,46%,63%,"11,7%","5,6%",2027,47%,50%,21937,1226,615,CDS24,CDS24,,12%,2027,None,,,,,,,,,None,No data,No data,,,,,,,,,,,,,,,,,,82%,91%,94%,13%,,No,,,,,11/30/2024,,,,,,,,,,,,,23-24,17,9,6,10,4,51,"78,5",,242,61,2,4,10,6,2,13,5,Yes,3,,4,2,5,6,2,"10,47",Feb,"5,21","14,64","25,63",Aug,Jul,0,"56,5","245,6",Jan,Legal,Viability,"5,9","224,4","37,8",generous_aid
University of Miami,Coral Gables,FL,Florida,,Yes,,Private,Southeast,"Miami, FL",Suburb: Large,10K - 20K,Coeducational,No,Balanced,Majority,On-campus,0-None,None,$0,$62.616,$23.790,$90.406,24-25,Both,344,"34,3%",$43.549,$41.957,CDS24,$15.0m,Yes (Need-aware),Full ride+stipend,,$0,$1.000,University of Miami,Stamps Scholarship,https://www.admissions.miami.edu/undergraduate/financial-aid/scholarships/freshman/index.html,"A premier, full-ride scholarship. Requires a separate application. Students must apply early Decision I or early Action to be considered. Includes health insurance, textbooks, a laptop allowance, and access to a $12,000 enrichment fund. Full-tuition Isaac Bashevis Singer Scholarship also available. Automatic considerationderation for up to $28,000.",By invitation only,65%,46%,71%,"19,0%",82%,2028,26%,,-,-,-,USN25,WEBPR,,4%,2027,Both,Yes,"59,9%",2027,,42%,"58,9%",2027,14.7x,Optional,32%,21%,1410,670,750,660,720,30,32,33,27,32,31,35,31,35,28,33,CDS24,67%,76%,80%,16%,,Yes,11/1/2024,11/1/2024,,,1/6/2025,,,11/15/2024,Not specified,Early Decision 1 is mid-dec;,1/6/2025,1/6/2025,Late February,,,1/6/2025,4/1/2025,23-24,63,201,57,278,53,90,"75,2",,587,"16,9",145,,278,176,53,251,83,,113,,,145,,,,"8,06",Jan,"16,49","25,84","33,68",Jul,Jan,"1,44","164,5","269,7",Jun,Vote pending,6 weeks,"7,2","11,8","13,2",generous_aid
University of Notre Dame,Notre Dame,IN,Indiana,Yes,Yes,Yes,Private,Midwest (Great Lakes),,Suburb: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,4-Moderately,Catholic (Congre,$0,$65.025,$17.900,$86.925,24-25,Both,297,"49,7%",$64.039,$20.032,CDS24,$19.0m,Yes (Need-blind),Full Tuition,,$0,$21.900,University of Notre Dame,Stamps Scholarship,https://scholars.nd.edu/awards/list-of-awards/,"A premier scholarship program. Students are identified for consideration from the pool of Restrictive early Action applicants. No separate application is needed for initial consideration. Several $25,000 scholarships also available",Automatic consideration,73%,52%,71%,"11,1%","8,8%",2028,59%,60%,3301,292,174,CDS24,WEBPR,72,"8,6%",2028,REarly Action Only,,,,,,"15,0%",2028,1.7x,Optional,29%,29%,,730,780,710,760,32,34,35,,,,,,,,,,85%,94%,94%,10%,,Yes,,11/1/2024,,,1/3/2025,,,11/15/2024,Not specified,Mid-December,,,,1/15/2025,,2/1/2025,,23-24,18,199,56,304,58,32,"81,1",,575,"18,4",46,,304,62,12,251,37,Yes,43,,,46,,,,"21,34",Feb,"-4,03","11,18","28,54",Jul,Nov,"20,18","84,2","169,7",Jul,Banned,—,"8,5","48,8",12,generous_aid
University of Rochester,Rochester,NY,New York,,Yes,Yes,Private,Northeast (Mid-Atlantic),,City: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,None,$0,$67.124,$19.570,$90.694,24-25,Both,468,"30,9%",$40.994,$46.278,CDS24,$19.2m,Yes (Need-aware),Full ride+stipend,,$0,$3.000,University of Rochester,Handler Scholarship,https://www.rochester.edu/financial-aid/scholarships/,"A premier scholarship for students with outstanding academic and leadership potential from an urban background. All applicants are automatically considered. Includes book stipend and $5,000 for academic enrichment. Several other scholarships available.",Requires nominationation,68%,51%,75%,"35,9%","12,0%",2027,20%,41%,7831,942,383,CDS24,CDS24,,"35,6%",2027,Early Decision only,Yes,"39,2%",2027,1.1x,43%,,,,Optional,26%,10%,1470,710,790,690,750,31,33,34,30,35,32,35,32,35,31,35,CDS24,86%,90%,93%,8%,2%,No,11/1/2024,,,,1/5/2025,,,12/1/2024,November,Mid-December,1/5/2025,,early February,,December,,4/1/2025,23-24,44,133,45,224,44,126,"72,7",,100,"93,8",53,,224,56,40,351,37,,71,,,53,,,,"22,37",Feb,"-5,18","10,29","27,43",Jul,Sep,"39,47","76,6","139,5",Jul,Legal,Viability,"6,1",0,"31,4",generous_aid
University of Wisconsin-Madison,Madison,WI,Wisconsin,,Yes,Yes,Public,Midwest (Great Lakes),,City: Large,20K+,Coeducational,No,Balanced,Majority,Off-campus,0-None,None,$0,$42.103,$14.124,$60.227,24-25,Merit,,No data,No data,No data,,,N/A,Full ride+stipend,,$0,$0,University of Wisconsin-Madison,King-Morgridge Scholars Program,https://admissions.wisc.edu/international-scholarships/,"A program for enterprising, creative students from developing countries who are committed to returning home to work on issues of poverty. Requires a separate application. The grant includes health insurance, airfare, and a stipend for miscellaneous expenses.",Requires application,74%,38%,51%,"43,3%","31,9%",2027,29%,16%,12355,3942,647,CDS24,CDS24,,43%,2027,Early Action Only,,,,,,,,,Optional,16%,38%,1440,690,780,660,730,28,30,32,27,32,27,32,27,34,28,34,CDS24,76%,89%,92%,17%,,Yes,,11/1/2024,,,1/15/2025,,11/8/2024,,Not specified,1/31/2025,,,,1/22/2025,,,3/31/2025,23-24,39,63,25,102,28,79,"76,4",,498,"23,6",16,25,102,17,18,151,19,Yes,13,,23,16,16,24,15,"25,2",Feb,"-7,63","10,00","28,82",Jul,Jun,"20,38","66,1","162,6",Jul,Legal,22 weeks,"1,5","65,2",24,generous_aid
