University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of International Students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
Berea College,Berea,KY,Kentucky,Private,Southeast,,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$49.326,$7.892,$61.218,Both,,100%,N/A,N/A,,Yes (Need-aware),Full ride,Automatic,https://www.berea.edu/costs-and-financial-aid-for-international-students,Berea College provides 100% funding to all enrolled international students for the first year of enrollment. This combines financial aid and scholarships. A separate application is not required.,$0,$4.000,Automatically Awardarded,33%,5%,61%,-,,-,,33%,Early Action Only,,early_admission
Berry College,Mount Berry,GA,Georgia,Private,Southeast (Deep South),,Suburb: Small,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,1-Historically,$20.000,$41.486,$15.094,$60.580,Merit,9,100%,$39.577,$19.069,$0.4m,N/A,not specified,Presidential Scholarship,https://www.berry.edu/scholarships-and-aid/berry-scholarships,"A competitive, premier scholarship program. Requires a separate application after being admitted to Berry. Finalists are invited to an on-campus competition.",,,Automatic consideration,62%,,14%,-,,-,,49%,Early Action Only,,early_admission
Biola University,La Mirada,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,5K - 10K,Coeducational,No,Balanced,Majority,Off-campus,6-Primarily,$45.000,$48.984,$13.130,$66.114,Merit,197,86%,$22.692,$39.246,$4.5m,N/A,$22.000,President Scholarship,https://www.biola.edu/financial-aid/scholarships-and-aid/undergrad/biola-scholarships,"The highest academic scholarship for incoming freshmen, based on GPA and test scores (if submitted). Students are automatically considered upon admission. Renewable based on maintaining a specific GPA.",$26.984,$44.114,Automatic consideration,61%,"21,9%",32%,32%,672,147,47,,Early Action Only,,early_admission
Boston College,Chestnut Hill,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Small,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,3-Somewhat,$25.000,$70.702,$18.916,$93.618,Merit,No data,No data,No data,No data,,N/A,Full Tuition,Gabelli Presidential Scholars Program,https://www.bc.edu/bc-web/academics/sites/gabelli-presidential-scholars-program.html,"A highly competitive, 15-person undergraduate Merit Scholarship program. Requires a separate application. Focuses on academic excellence, leadership, and community service.",$0,$22.916,Automatic consideration,"14,7%",16%,41%,-,,-,,"12,0%",Early Decision only,Yes,early_admission
Boston University,Boston,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$25.000,$68.102,$19.020,$91.122,Merit,225,6%,$45.811,$41.467,$10.3m,N/A,Full Tuition,Trustee Scholarship,https://www.bu.edu/admissions/tuition-aid/scholarships-financial-aid/first-year-merit/trustee/,"BU's most prestigious Merit Scholarship. Requires a separate application with an additional essay. Awarded to students with exceptional academic credentials, leadership, and unique talents.",$0,$23.020,Requires application,"10,9%",13%,36%,-,,-,-,"9,5%",Early Decision only,Yes,early_admission
Bowdoin College,Brunswick,ME,Maine,Private,Northeast (New England),,Town: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$67.832,$18.488,$90.320,Need,83,66%,$77.156,$9.444,$6.4m,Yes (Need-blind),,,,,,,,"8,0%","1,9%",57%,67%,3921,73,49,"6,4%",Early Decision only,Yes,early_admission
Brandeis University,Waltham,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Small,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,2-Slightly,$0,$68.080,$18.584,$90.664,Both,153,20%,$45.081,$42.961,$6.9m,Yes (Need-aware),Demonstrated Need,Wein International Scholarship,https://www.brandeis.edu/isso/programs/wien/index.html,"For international students with strong academic records and a history of leadership. Requires a separate application, including a nomination form and essays. Focuses on students who will contribute to the campus community.",$0,$0,Requires application,"35,3%","15,4%",22%,30%,3686,567,169,"34,3%",Early Decision only,Yes,early_admission
Bridgewater College,Bridgewater,VA,Virginia,Private,Southeast,,Suburb: Small,1K - 9K,Coeducational,No,Balanced,Very High,Off-campus,2-Slightly,$25.000,$16.090,$14.850,$34.940,Both,46,65%,$37.434,$22.286,$1.7m,,,,,,,,-,91%,,12%,-,,-,,93%,Early Action Only,,early_admission
Brown University,Providence,RI,Rhode Island,Private,Northeast (New England),,City: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$0,$71.312,$17.444,$92.756,Need,265,30%,$78.765,$10.063,$20.9m,Yes (Need-blind),,,,,,,,"5,2%","3,8%",63%,65%,10646,401,261,"3,8%",Early Decision only,,early_admission
Bryant University,Smithfield,RI,Rhode Island,Private,Northeast (New England),,Suburb: Large,1K - 9K,Coeducational,No,Professional,Very High,On-campus,0-None,$35.000,$52.677,$17.860,$74.537,Merit,148,86%,$30.937,,$4.6m,N/A,$40.000,Academic Scholarship,https://www.bryant.edu/admission-bryant/undergraduate-admission/undergraduate-financial-aid-and-tuition/scholarships-grants,"Merit-based scholarships, including the top-tier President Scholarship, are awarded based on the admission application. No separate application is needed. Awards are based on academic achievement.",$12.677,$34.537,Automatic consideration,66%,53%,15%,-,,-,,41%,Both,,early_admission
Bryn Mawr College,Bryn Mawr,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Women's,No,Arts and Sciences,High,On-campus,1-Historically,$0,$65.920,$19.400,$89.320,Need,75,42%,$69.529,$15.721,$5.2m,Yes (Need-aware),,,,,,,-,31%,,35%,-,,-,-,"28,7%",Early Decision only,Yes,early_admission
Bucknell University,Lewisburg,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$25.000,$67.812,$16.924,$88.736,Both,114,67%,$63.010,$21.880,$7.2m,No,$30.000,Presidential Fellowships,https://www.bucknell.edu/admissions-aid/tuition-fees-financial-aid/scholarship-programs/presidential-fellowships,A research-focused program for top students. Students receive a stipend for a summer research project with a faculty mentor. Automatic consideration for top applicants; no separate application required.,$37.812,$58.736,Requires application,"32,0%","4,7%",29%,40%,2573,121,48,"29,2%",Early Decision only,Yes,early_admission
Butler University,Indianapolis,IN,Indiana,Private,Midwest (Great Lakes),,City: Large,5K - 10K,Coeducational,No,Professional,High,On-campus,2-Slightly,$45.000,$47.560,$17.250,$68.810,Merit,,,,,,N/A,$25.000,Academic Scholarships,https://www.butler.edu/admission-aid/financial-aid-scholarships/international/,"International students are automatically considered for merit-based scholarships upon admission. Awards are based on the strength of the application, including academic performance. No separate application required.",$22.560,$43.810,Automatic consideration,"85,9%","39,0%",14%,4%,369,144,6,"63,7%",Early Action Only,,early_admission
Caldwell University,Caldwell,NJ,New Jersey,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$35.000,$40.848,$14.188,$59.036,Merit,245,100%,$26.649,$30.577,$6.5m,N/A,,,,,,,-,66%,53%,7%,-,,-,,61%,Early Action Only,,early_admission
California Institute of Technology (Caltech),Pasadena,CA,California,Private,West Coast,"Los Angeles, CA",City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Minority,Off-campus,0-None,$0,$65.898,$20.283,$90.181,Need,63,50%,$74.155,$12.603,$4.7m,Yes (Need-aware),,,,,,,,3%,,65%,-,,-,-,3%,REarly Action Only,,early_admission
Canisius College,Buffalo,NY,New York,Private,Northeast (Mid-Atlantic),,City: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$25.000,$34.200,$13.560,$51.760,Merit,106,100%,$26.969,$22.911,$2.9m,N/A,unknown,,,,,TBD,-,"81,5%","50,2%",13%,6%,951,477,30,71%,Early Action Only,,early_admission
Carleton College,Northfield,MN,Minnesota,Private,Midwest (Great Plains),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$68.892,$17.586,$90.478,Both,90,45%,$62.637,$23.530,$5.6m,Yes (Need-aware),Full ride+stipend,Starr Scholarship,https://www.carleton.edu/international/applying/looking/scholarship/,Provides comprehensive financial support for talented students from Asia. Applicants must demonstrate exceptional academic and personal promise. A separate application is not required but students must indicate interest.,$0,$2.000,Automatic consideration,"22,3%","5,2%",37%,48%,2737,141,68,"20,5%",Early Decision only,,early_admission
Carnegie Mellon University,Pittsburgh,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$95.000,$65.636,$18.166,$87.802,None,,,,,,N/A,,,,,,,,"11,5%",9%,44%,-,,-,-,"11,1%",Early Decision only,,early_admission
Carroll University,Waukesha,WI,Wisconsin,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,2-Slightly,$15.000,$38.890,$11.530,$54.420,Merit,77,92%,$29.776,$24.794,$2.3m,N/A,Full Tuition,McAllister Scholarship,https://www.carrollu.edu/financial-aid/undergraduate-scholarships/macallister,"A competitive, full-tuition scholarship. Requires a separate application, essay, and an on-campus competition for finalists. Focuses on academics, leadership, and service.",$0,$15.530,By invitation only,58%,13%,18%,-,,-,,58%,Early Decision only,,early_admission
Case Western Reserve University,Cleveland,OH,Ohio,Private,Midwest (Great Lakes),,City: Large,10K - 20K,Coeducational,No,Balanced,Minority,On-campus,0-None,$0,$66.605,$18.430,$89.035,Both,294,36%,$37.878,$47.840,$11.1m,Yes (Need-aware),Full Tuition,Scholarship Competitions,https://case.edu/admission/tuition-aid/scholarships,"Offers various competitive scholarships, including some full-tuition awards. Requires a separate application and participation in a scholarship competition weekend for finalists.",$0,$22.430,Requires application,"28,7%","20,2%",14%,9%,11578,2343,202,"28,7%",Both,Yes,early_admission
Catawba College,Salisbury,NC,North Carolina,Private,Southeast,,Suburb: Large,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,$20.000,$34.300,$13.200,$51.500,Both,64,98%,$33.002,$16.948,$2.1m,No,Full Tuition,"Socratic, Spirit of Catawba, Hobgood Scholarships",https://catawba.edu/catawbascholars/,These are part of the Catawba College Scholars Program. Requires nomination (self-nomination is accepted) and a separate application. Finalists are invited to compete on campus.,$0,$17.200,Requires nomination,"77,7%","5,6%",16%,94%,284,16,15,"72,6%",Early Action Only,,early_admission
Centre College,Danville,KY,Kentucky,Private,Southeast,,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$5.000,$52.820,$13.940,$70.760,Both,64,100%,$47.939,$20.381,$3.1m,No,Full ride+stipend,Lincoln Scholarship,https://www.centre.edu/admission-aid/scholarships-fellowships,A premier scholarship program for students who demonstrate high academic achievement and leadership. Automatic consideration for top applicants; selected students are invited to apply.,$0,$2.000,Requires application,56%,15%,21%,-,,-,,36%,Both,Yes,early_admission
Chapman University,Orange,CA,California,Private,West Coast,"Los Angeles, CA",City: Midsize,5K - 10K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$55.000,$64.984,$17.814,$86.798,Merit,123,56%,$19.541,$64.621,$2.4m,N/A,$36.000,Not specified,https://www.chapman.edu/admission/undergraduate/how-to-apply/international-students/tuition-and-costs.aspx,"All undergraduate applicants, including international students, are automatically considered for merit-based scholarships based on their admission application. No separate application is required.",$28.984,$50.798,Automatic consideration,56%,,20%,-,,-,-,43%,Both,,early_admission
Claremont McKenna College,Claremont,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,$0,$67.980,$20.830,$92.810,Both,42,21%,$71.102,$16.698,$3.0m,Yes (Need-aware),Full Tuition,Seaver Scholars and Interdisciplinary Science Scholars,https://www.cmc.edu/admission/scholarships,These are merit-based scholarship programs for students with exceptional academic and leadership potential. No separate application is required; candidates are selected from the pool of regular decision applicants.,$0,$24.830,Automatic consideration,"11,1%","7,4%",50%,46%,1432,106,49,"8,9%",Early Decision only,,early_admission
Clark University,Worcester,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$5.000,$58.467,$12.500,$74.967,Both,105,67%,$27.722,$43.128,$2.9m,No,Full ride,Presidential Scholarship,https://www.clarku.edu/offices/financial-aid/prospective-students/international-students/first-year-scholarships/,One of Clark's most prestigious scholarships. No separate application required; students are selected based on the strength of their admission application. Focuses on students who will be leaders at Clark and beyond.,$0,$4.000,Requires application,42%,88%,14%,-,,-,,28%,Both,,early_admission
Clarkson University,Potsdam,NY,New York,Private,Northeast (Mid-Atlantic),,Town: Remote,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$45.000,$59.398,$19.094,$82.492,Merit,94,87%,$37.448,$41.518,$3.5m,N/A,,,,,,TBD,-,77%,73%,11%,-,,-,,77%,Early Decision only,,early_admission
Clemson University,Clemson,SC,South Carolina,Public,Southeast (Deep South),,Suburb: Midsize,20K+,Coeducational,No,Professional,High,On-campus,0-None,$65.000,$40.866,$13.284,$58.150,None,,,,,,N/A,,,,,,,,"8,2%","26,7%",20%,5%,525,140,7,47%,Early Action Only,,early_admission
Coastal Carolina University,Conway,SC,South Carolina,Public,Southeast (Deep South),,City: Small,10K - 20K,Coeducational,No,Balanced,Very High,On-campus,0-None,$20.000,$29.628,$13.100,$46.728,Merit,72,95%,$26.693,$18.353,$1.9m,N/A,$18.000,Presidential Scholarship,https://www.coastal.edu/admissions/meritawardsintl/,The highest merit award for international students. Awarded automatically based on academic criteria (GPA and test scores) from the admission application. No separate application is needed.,$11.628,$28.728,Automatic consideration,"80,2%","44,3%",19%,30%,183,81,24,80%,Both,,early_admission
Coe College,Cedar Rapids,IA,Iowa,Private,Midwest (Great Plains),,City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$15.000,$54.666,$11.790,$70.456,Merit,73,100%,$40.683,,$3.0m,N/A,Full Tuition,Distinguished Trustee Scholarship,https://www.coe.edu/admission/first-year-students/scholarships-awards,The top Merit Scholarship awarded to first-year students. Students are automatically considered based on their application for admission.,$0,$15.790,By invitation only,71%,12%,7%,-,,-,,67%,Early Action Only,,early_admission
Colby College,Waterville,ME,Maine,Private,Northeast (New England),,Town: Remote,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$69.600,$17.890,$91.490,Need,189,80%,$72.720,$15.000,$13.7m,Yes (Need-aware),,,,,,,-,"6,6%",,50%,-,,-,,7%,Early Decision only,Yes,early_admission
Colby-Sawyer College,New London,NH,New Hampshire,Private,Northeast (New England),"Boston, MA",Rural: Remote,<1K,Coeducational,No,Professional,Very High,On-campus,1-Historically,$30.000,$19.126,$17.364,$40.490,Merit,No data,,No data,,,N/A,$10.000,Merit Scholarship,https://colby-sawyer.edu/financial-aid/scholarships-awards,"All applicants are automatically considered for merit-based scholarships, such as the Founder's Scholarship, based on their academic record. No separate application is necessary.",$9.126,$30.490,Automatic consideration,75%,3%,13%,-,,-,,,Early Action Only,,early_admission
Colgate University,Hamilton,NY,New York,Private,Northeast (Mid-Atlantic),,Rural: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$0,$70.306,$17.610,$91.916,Need,130,50%,$73.422,$14.392,$9.5m,Yes (Need-aware),,,,,,,-,"12,0%","2,9%",32%,31%,7922,231,72,"10,7%",Early Decision only,Yes,early_admission
College of Charleston,Charleston,SC,South Carolina,Public,Southeast (Deep South),,City: Midsize,10K - 20K,Coeducational,No,Balanced,Very High,On-campus,1-Historically,$55.000,$38.296,$14.332,$56.628,Merit,49,56%,$8.658,$46.232,$0.4m,N/A,,,,,,TBD,-,"72,0%","49,1%",14%,17%,267,131,22,53%,Both,,early_admission
College of St. Benedict,Saint Joseph,MN,Minnesota,Private,Midwest (Great Plains),,Suburb: Midsize,1K - 9K,Women's,No,Arts and Sciences,Exclusively,On-campus,3-Somewhat,$30.000,$55.756,$12.550,$72.306,Both,43,98%,$41.743,$28.301,$1.8m,No,,,,,,TBD,-,85%,,22%,-,,-,,85%,Early Action Only,,early_admission
College of the Atlantic,Bar Harbor,ME,Maine,Private,Northeast (New England),,Rural: Remote,<1K,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,$15.000,$47.997,$10.404,$62.401,Limited,88,100%,$50.199,$10.081,$4.4m,N/A,Demonstrated Need,,,,,,Requires nomination,"68,6%","39,5%",26%,35%,124,49,17,"69,7%",Both,,early_admission
