ID ,TITLE,AMOUNT,AWARDS,DEADLINE,SPONSORS,Description,Eligibility Requirements,STUDY LEVEL,FIELD OF STUDY,COUNTRY,OFFICIAL LINK,ADDITIONAL NOTES
SCH0011,Undergraduate in STEM Scholarship 2025,"$5,000",Not Specified,2025/09/23,educations.com,"Are you looking for scholarships to study a STEM undergraduate degree program abroad? We can help! At educations.com, we believe that students who study abroad become the next generation of globally-minded adventurers – so we want more of you to do it.

This STEM degree scholarship will be awarded for students beginning their STEM studies in the Fall 2025 semester or after and is worth up to $5,000. It's open to international students from any country who will be studying an undergraduate STEM degree abroad at a college or university.

Our ideal candidate
 
Are you the next globally-minded adventurer?

If you're planning on studying abroad as an undergraduate STEM student, scholarships are only one part of your journey. We already know you have a courageous and adventurous spirit because of your decision to study abroad, but what else are we looking for in a candidate?

You are:
Globally-minded and interested in other cultures
Planning to enroll or enrolled in an undergraduate program within science, technology, engineering, or mathematics.
A high academic achiever with consistently outstanding grades and achievements in fields relevant to your chosen STEM subject(s)
Involved in extracurricular groups and activities
Excited to begin your adventure and share your story with the world!","To apply for our scholarship:

You must have a plan to enroll at any undergraduate STEM* degree program (e.g. Bachelor of Science, Bachelor of Engineering, etc.)
You must meet the entry requirements for the university or college of your choice.
Hold valid credentials required for undergraduate enrollment
Meet language requirements for the program.
You must hold or be eligible to apply for a relevant study visa.
You must not be a citizen or permanent resident of the country to which you are applying.
* Fields of Study that qualify for the STEM scholarship: for the purpose of this scholarship, STEM is defined as Science, Technology, Engineering, and Mathematics. Programs that fall into these disciplines will be considered for eligibility on an individual basis and we reserve the right to reject applicants if the specified program does not fit within the STEM fields.",Bachelor's,STEM,USA,https://www.educations.com/scholarships/undergraduate-in-stem-scholarship,
SCH0012,Rotary Peace Fellowships,Fully funded,130,2025/05/15,Rotary International,"Each year, Rotary awards up to 130 fully funded fellowships for dedicated leaders from around the world to study at one of our peace centers. Through academic training, practice, and global networking opportunities, the Rotary Peace Centers program develops the capacity of peace and development professionals to become effective catalysts for peace. The fellowships cover tuition and fees, room and board, round-trip transportation, and internship and field-study expenses.

The Rotary Peace Fellowship is designed for leaders with work experience in peace and development. Our fellows are committed to community and international service and the pursuit of peace. Each year, The Rotary Foundation awards up to 50 fellowships for master's degrees and up to 80 for certificate studies at premier universities.

Master's degree programs: Accepted candidates study peace and development issues with research-informed teaching and a diverse student body. The programs last 15 to 24 months and include a two- to three-month field study, which participants design themselves.

Professional development certificate program: During the one-year blended learning program, experienced peace and development professionals with diverse backgrounds gain practical skills to promote peace within their communities and regions. Fellows complete field studies and design and carry out a social change initiative.","Qualified candidates must:
- Have three years of related work experience for the master's program (five years for the Duke program)
- Have five years of related work experience for the certificate program and be able to explain how their plan to promote peace aligns with Rotary's mission
- For Makerere University: must either be from Africa, have worked in Africa, or work with African communities or initiatives outside the continent
- Be proficient in English
- Have a bachelor's degree
- Demonstrate leadership skills
- Have a strong commitment to cross-cultural understanding and peace
- Have at least three years between the completion of their most recent academic degree program and their intended start date for the fellowship
- Candidates currently enrolled in an undergraduate or graduate program are not eligible to apply",Master's & Certificate,Peace and Development Studies,"Australia, Japan, Sweden, Uganda, United Kingdom, United States",https://www.rotary.org/en/our-programs/peace-fellowships,"Two program types: 1) Master's degree programs (15-24 months, up to 50 fellowships) at five Rotary Peace Centers, 2) Professional development certificate program (1 year blended learning, up to 80 fellowships) in Thailand or Uganda. Since 2002, over 1,800 fellows trained, now working in 140+ countries."
SCH0013,Ultatel Scholarship Grant,"$2,500",1,2025/06/01,Ultatel,"As a leading unified communications provider for businesses of any size, Ultatel is looking for fresh ideas on business and communications from forward-thinking individuals. The scholarship is designed to help further education or career aspirations for students with a passion for communication technologies.

The scholarship award is a one-time $2,500 grant to help cover undergraduate tuition and fees. Ultatel will mail a check directly to your college or university on your behalf.

Application Requirements:
- Cover letter introducing yourself and stating your reason for applying and describing your goals
- 500-word essay explaining how communication has changed over the years in response to advancements in technology, why good communication is essential in every business, and identifying at least 3 problems in communication that technology can solve","Qualified candidates must:
- Be prospective students who qualify for admission to an institution in the years 2024 or 2025
- Be pursuing a degree in one of the following fields: Mass Communications, Development Communications, Information Systems, Software Development, Web Development, Cyber Security, Computer Science, Management and Technology
- Have an acceptance letter from the college or university
- Submit a cover letter and 500-word essay as part of the application",Bachelor's,"Mass Communications, Information Systems, Software Development, Web Development, Cyber Security, Computer Science, Management and Technology",USA,https://www.ultatel.com/ultatel-scholarship-grant/,"Winner announced August 1, 2025. Previous winner: Kristine Dziedziula from Our Lady of Mercy Academy in Syosset, NY (chosen from 200+ applicants). Applications currently open for 2025."
SCH0014,Skoolville's Scholarship for Exemplary International Students,"$1,000",1,2025/12/01,Skoolville Inc,"Skoolville is an online study abroad consultancy providing free counseling services to international students interested in applying to USA, Canada, and Australia universities. Skoolville.com provides full support and assistance to international students including profile evaluation, selecting universities, preparing SOP and LORs, submitting applications, visa preparation, and pre-departure formalities. All services offered by us are 100% free.

Skoolville.com is directly partnered with several universities across USA, Canada, and Australia and is rated 5 stars in Google by our students. Due to our continuing commitment to assisting students, we are supplementing our efforts with a scholarship award for international undergraduate and graduate students that are studying at an accredited US college or university.

Essay Requirement: Write an 800-1000 word essay on ""Trends in International student migration"" demonstrating research from the past 5 years, personal opinion, and a conclusion exploring the future.

Grading Criteria: 60% comprehension of subject matter, 30% ability to balance ideas within word-limit, 10% spelling & grammar.","Qualified candidates must:
- Be enrolled, or due to be enrolled, as a full-time student at an accredited US college or university for the semester applying for
- Be an international undergraduate or graduate student at a college or university in the US
- Have a minimum 3.4 GPA
- Students attending online universities are welcome to apply
- Submit proof of enrollment (transcript, acceptance letter, or tuition bill)
- Submit 800-1000 word essay on specified topic
- Avoid overly political arguments and must cite references
- Complete application form with: Full Name, Email, College Name & Address, Proof of Enrollment (.jpeg, .pdf, or .doc), Essay (.pdf or .doc), Terms & Conditions acceptance",All,All Fields,USA,https://skoolville.com/scholarship,"Non-renewable yearly scholarship. Funds sent via check to college/university for qualified expenses (tuition, fees, books, on-campus room & board). Winner selected by Skoolville panel and notified via email. Contact: skoolvillescholarship@gmail.com. Strong privacy protections - no marketing use of applicant data."
SCH0015,RentHop's College and University Scholarship Program,"$1,000",Not Specified,2025/04/30,RentHop,"The RentHop Apartment Scholarship awards up to $2,000 a year to eligible undergraduate students in bachelor's and associate's degree programs in the US who demonstrate the ambition, diligence, leadership, and entrepreneurial spirit that is central to our company culture.

RentHop was founded in 2008 by two co-founders who experienced bad apartment search experiences in NYC after college. They wondered why technology had not yet solved the pain of finding a rental home. Using quantitative algorithms and technology, they created RentHop, a site that sorts listings by quality using their HopScore algorithm.

Essay Requirement: Submit an essay under 500 words that answers: ""Imagine yourself 10 years in the future after having graduated college and living the life of your dreams: find a listing on RentHop you picture yourself living in and write how it contributes to your ideal day. Please provide a link to the listing.""

RentHop currently allows searching for apartments in NYC, Boston, Chicago, and most major U.S. cities.","Qualified candidates must:
- Be a current student in an eligible undergraduate program or a graduating high school senior
- Be working towards a bachelor's degree or associate's degree
- Submit essay under 500 words using their Scholarship Application Form
- Apply using school email address (personal email accepted if school doesn't provide one)
- Submit by midnight Eastern Time of application deadline
- If selected, must provide PDF proof of acceptance letter or enrollment verification
- Demonstrate ambition, diligence, leadership, and entrepreneurial spirit",Bachelor's,All Fields,USA,https://www.renthop.com/resources/college-scholarship,"Two application deadlines per year: April 30 at 11:59pm ET and August 31 at 11:50pm ET. Recipients notified within 30 days of each deadline. Scholarship checks may be sent directly to recipient's school depending on school policy. Finalists may be featured on RentHop blog. Contact: college-scholarship@renthop.com"
SCH0016,Learning Goals Essay Scholarship,"$500",1,2025/08/01,NYCTutoringServices.com,"The goal of the tutoring team at NYCTutoring.com is to help every learner reach his or her academic potential. For their $500 annual scholarship, they invite participants to submit an essay of 500–750 words discussing their learning goals and how achieving those goals will improve their lives and the lives of others.

Essay Topic: Participants must write about their learning goals and how achieving those goals will improve their lives and the lives of others. The essay should demonstrate the participant's academic potential and commitment to personal growth and community impact.

This scholarship aims to support students who show dedication to their educational journey and have clear vision for how their learning will contribute positively to society.","Qualified candidates must:
- Be graduating US high school seniors OR current undergraduate students (including international students)
- Have a cumulative GPA above 3.0 over the previous school year
- Submit an essay of 500–750 words on learning goals and their impact
- Submit by August 1 at 12:00 p.m. Eastern Time
- Demonstrate how achieving their learning goals will improve their lives and the lives of others",All,All Fields,USA,https://www.nyctutoring.com/scholarship,"Annual scholarship program. Note: As of recent check, the NYCTutoring.com website indicates 'This year's scholarship has been closed' - status may vary by year. Essay should focus on academic goals, career goals, and impact on others. Open to international students studying in the US."
SCH0017,$1500 College Monk Short Essay Scholarship,"$1,500",1,2025/10/15,The Monk Media Inc,"The College Monk $1500 short essay scholarship is an essay required scholarship with no GPA requirements. The purpose of the scholarship is to provide financial assistance to high school graduating students or college students who are going to attend an accredited institution in the US.

The scholarship is awarded once each year and is available to all eligible students regardless of ethnicity, national origin, or immigration status. The scholarship recipient will be selected based on the essay provided.

Essay Requirement: Submit an original essay of not less than 300 words addressing the following:
- Tell us about yourself and why you are applying for this scholarship
- Be clear about how this scholarship will help you achieve your personal and professional goals  
- Mention any past achievements of state, national or international fame

The scholarship aims to support students pursuing college education and remove financial barriers to higher education access.","Qualified candidates must:
- Be currently pursuing or looking to pursue college education in the next 12 months in the United States
- Be a legal citizen of the U.S. OR an international student with a valid student visa
- Be enrolled or attending an undergraduate or graduate program at an accredited US institution
- Submit an original essay of at least 300 words addressing specified questions
- No GPA requirements
- Available regardless of ethnicity, national origin, or immigration status
- Can be high school graduating students or current college students",All,All Fields,USA,https://www.thecollegemonk.com/collegemonk-scholarship-application,"Annual scholarship with no GPA requirements. Open to both US citizens and international students with valid student visas. Selection based entirely on essay quality. Note: Website shows 'No Essay' in title but description clearly indicates essay requirement of 300+ words."
SCH0018,EduLegit Essay Writing Contest,"$3,000 - $1,000 - $500",3,2025/06/30,EduLegit,"EduLegit has launched this writing contest to celebrate the beta testing of their platform and encourage more students to join. The contest aims to hear students' opinions and thoughts about the role of AI in education, work, and daily life.

Awards:
- 1st place: $3,000 scholarship (grand prize for best essay)
- 2nd place: $1,000 scholarship (reward for exceptional writing skills)  
- 3rd place: $500 scholarship (prize for creative effort and originality)

Essay Requirements: Write an original 800-word essay on AI-related topics using the EduLegit platform. Essays must demonstrate creativity, diligent approach, and sufficient writing skills.

Contest Process: Submit essay by June 30, qualifying essays published for voting by July 15, voting ends August 15, results announced afterward. The grand prize winner is chosen by EduLegit expert team votes, while 2nd and 3rd place are determined by social media voting from 50 selected creative essays.","Qualified candidates must:
- Register an account at edulegit.com using the contest sign-up form
- Write and submit essay using only the EduLegit platform (no email submissions accepted)
- Submit original 800-word essay on one of the suggested AI topics or choose own AI-related topic
- Essay must be 100% human-written (no AI writing tools allowed - platform checks for AI content)
- Essay must be plagiarism-free and demonstrate original thinking
- Can research and cite external sources but must cite properly
- Show creativity, critical thinking, and sufficient writing skills
- Submit by June 30, 2025
- Open to students (no specific restrictions mentioned)",All,Technology/AI,Global,https://edulegit.com/essay-contest/,"Contest topics include: Impact of AI on Education, Is Use of AI Cheating?, Is AI an Opportunity or Threat?, Role of AI in Education and Learning, How AI Impacted You. Platform provides feedback on all submissions. Contest runs January-June 2025. Winners can vote for published essays and invite friends to vote."
SCH0019,Delete Cyberbullying Social Media Scholarship,"$1,000",1,2026/02/28,Delete Cyberbullying,"In an effort to get students committed to the cause of deleting cyberbullying, Delete Cyberbullying is offering this scholarship for high school and college students to help cover educational expenses.

We want to raise awareness that much of cyberbullying takes place on social media. Those who spend more time on social media are more likely to be cyberbullied so it's important for students to be aware of the signs of cyberbullying.

The organization's mission is to educate students and parents about cyberbullying and to work toward its eradication. This scholarship focuses specifically on social media awareness and the risks associated with increased social media usage.","Qualified candidates must:
- Be a high school student (9th-12th grader), college student, or graduate student
- Be attending or planning to enter an accredited U.S. college or university
- Complete the online application form
- Submit a written statement demonstrating creativity, content, and commitment to the cause of deleting cyberbullying
- Show awareness of cyberbullying signs and social media risks",All,All Fields,USA,https://www.endcyberbullying.net/scholarship-social-media,"Selection based on written statement focused on creativity, content and commitment to deleting cyberbullying. Organization address: 2261 Market Street #291, San Francisco, CA 94114. Part of three-scholarship program addressing different aspects of cyberbullying."
SCH0020,Delete Cyberbullying Mental Health Awareness Scholarship,"$1,000",1,2025/06/30,Delete Cyberbullying,"In an effort to get students committed to the cause of deleting cyberbullying, Delete Cyberbullying is offering this scholarship for high school and college students to help cover educational expenses.

Cyberbullying is often tied to mental health issues, anxiety, and depression. We want to encourage students to be aware of the impact that cyberbullying can have and to watch for the signs of it.

The organization's mission is to educate students and parents about cyberbullying and to work toward its eradication. This scholarship focuses specifically on the mental health impact of cyberbullying and increasing awareness of warning signs.","Qualified candidates must:
- Be a high school student (9th-12th grader), college student, or graduate student
- Be attending or planning to enter an accredited U.S. college or university
- Complete the online application form
- Submit a written statement demonstrating creativity, content, and commitment to the cause of deleting cyberbullying
- Show awareness of cyberbullying's mental health impact and warning signs",All,All Fields,USA,https://www.endcyberbullying.net/scholarship-mental-health,"Selection based on written statement focused on creativity, content and commitment to deleting cyberbullying. Organization address: 2261 Market Street #291, San Francisco, CA 94114. Part of three-scholarship program addressing different aspects of cyberbullying."
