;;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;App Fees²;App Fees²;Common App;Common App;Supplements;Supplements;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸
Anderson University (SC);Coed;;;;;;Rolling;0;0;;;;;S;None;;;;;;
Angelo State University;Coed;;;;;;Rolling;50;50;;;;;S;See Website;See Website;;;;;
Anglo-American University in Prague;Coed;;;;;;Rolling;50;50;Yes;;;;S;SAT with Essay or ACT with Essay;See Website;;;;;
Anna Maria College;Coed;;;11/15/2024;;;Rolling;25;25;Yes;;;;S;See Website;See Website;;;;;
Antioch College;Coed;11/15/2024;1/2/2025;;;;Rolling;0;0;;;;;N;None;See Website;1;;Y;;
Appalachian State University;Coed;;;;;;Rolling;65;65;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Aquinas College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Arcadia University;Coed;;;;;;Rolling;0;0;;;SR;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Arizona State University;Coed;;;;;;Rolling;80;85;;Yes;;;F;See Website;See Website;;;;;
Art Academy of Cincinnati;Coed;;;;;;2025-06-01;0;0;;;SR;;N;None;;;;;;
Arts University Bournemouth, UK;Coed;;;;;;Rolling;20;20;;;;;S;SAT with Essay or ACT with Essay;I or P;;;Y;Y;Y
Asbury University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Ashland University;Coed;;;;;;Rolling;0;50;Yes;;;;S;See Website;I or T or P;;;;;
Assumption University;Coed;11/15/2024;;11/1/2024;12/1/2024;;2025-04-01;0;0;Yes;;;;N;None;See Website;;;;Y;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Auburn University;Coed;;;12/1/2024;;;2025-02-01;50;60;;;;;F;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
Auburn University at Montgomery;Coed;;;;;;Rolling;15;15;;;;;F;See Website;;;;;;
Augsburg University;Coed;;;;;;Rolling;0;100;;;;;N;None;I or T;;;;;Y
Augusta University;Coed;;;10/31/2024;;;Rolling;60;60;;;;;S;See Website;See Website;;;;;Y
Augustana College (Illinois);Coed;11/15/2024;;11/15/2024;;;2025-07-01;0;0;Yes;;;;N;None;I or T or P;;;;;
Augustana University (South Dakota);Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
Aurora University;Coed;;;;;;Rolling;0;0;;;;;S;See Website;See Website;;;;;Y
Austin College;Coed;;;11/1/2024;2/1/2025;;2025-03-01;0;0;Yes;;;;N;See Website;I or T;;;Y;;
Austin Peay State University;Coed;;;;;;Rolling;25;25;;;;;F;None;C or D or I or T;;;;;
Ave Maria University;Coed;;;;;;2025-07-26;10;10;;Yes;;;S;None;I or T;;;;;
Babson College;Coed;11/1/2024;1/2/2025;11/1/2024;;;2025-01-02;75;75;Yes;;;Yes;N;SAT without Essay or ACT without Essay;;1;;Y;Y;Y
Baker College;Coed;;;;;;Rolling;0;100;;Yes;;;N;SAT with Essay or ACT with Essay;See Website;;;Y;;
Baldwin Wallace University;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;See Website;;;;Y;Y
Ball State University;Coed;;;;;;2025-05-01;60;60;;;;;S;None;;;;;;
Bard College;Coed;11/1/2024;1/1/2025;11/1/2024;;;2025-01-01;0;0;Yes;;;;N;See Website;See Website;2;;Y;Y;Y
Bard College at Simon's Rock;Coed;;;12/1/2024;;;2025-04-01;0;0;;;;Yes;N;None;See Website;2;;;;Y
Bard College Berlin;Coed;;;11/1/2024;;;2025-01-15;0;0;Yes;;;;N;See Website;;2;;Y;;Y
Barnard College;Women;11/1/2024;;;;;2025-01-06;75;75;Yes;;SR;;N;See Website;See Website;2;;Y;Y;Y
Barry University;Coed;;;;;;Rolling;0;50;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Barton College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;T;;;;;Y
Bates College;Coed;11/15/2024;1/10/2025;;;;2025-01-10;65;0;Yes;;;;N;See Website;See Website;1;;Y;Y;Y
Bay Path University;Women;;;;;;Rolling;0;0;;;;;N;See Website;I or T or P;;;;;
Baylor University;Coed;11/1/2024;;11/1/2024;;;2025-02-01;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Beacon College;Coed;;;;;;Rolling;50;50;;;;;A;None;I or T;2;;;;Y
Belhaven University;Coed;;;;;;Rolling;0;0;;;;;F;See Website;See Website;;;;;
Bellarmine University;Coed;;;11/1/2024;;;Rolling;0;0;;;;;N;See Website;See Website;;;;;
Belmont Abbey College;Coed;;;10/31/2024;;;2025-07-31;0;0;;;;;N;None;;;;;;
Belmont University;Coed;;;;;;Rolling;50;50;Yes;;;;N;None;See Website;;;;;Y
Beloit College;Coed;;;11/1/2024;12/1/2024;;2025-03-01;0;0;Yes;;COL;;N;None;See Website;;;;;Y
Benedictine College;Coed;;;11/15/2024;;;2024-12-01;0;50;;;;Yes;F;See Website;;;;;;Y
Benedictine University;Coed;;;;;;2025-07-28;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;
Bennington College;Coed;11/15/2024;1/15/2025;12/1/2024;;;2025-01-15;0;0;Yes;;;;N;None;;2;;Y;Y;Y
Bentley University;Coed;11/15/2024;1/15/2025;;;;2025-01-15;75;75;Yes;;;;F;See Website;;1;;Y;Y;Y
Berry College;Coed;;;11/1/2024;;;2025-01-15;0;0;Yes;;;;I;None;;;;;;Y
Bethany College;Coed;;;;;;Rolling;0;0;;;;Yes;N;None;See Website;;;;;Y
Bethany Lutheran College;Coed;;;11/25/2024;;;Rolling;0;0;;;;;F;See Website;See Website;;;;;
Bethel University (MN);Coed;;;;;;2025-07-28;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Bethel University-TN;Coed;;;;;;2025-04-03;0;0;;Yes;;;N;None;;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Bishop's University;Coed;;;;;;Rolling;75;75;;;;;N;None;See Website;;;;;Y
Black Hawk College;Coed;;;;;;Rolling;20;20;;;;;N;None;See Website;;;;;
Blackburn College;Coed;;;;;;Rolling;0;0;;;;;S;None;T;;;;;Y
Boston College;Coed;11/1/2024;1/2/2025;;;;2025-01-02;80;80;Yes;;SR;;N;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;
Boston University;Coed;11/1/2024;1/6/2025;;;;2025-01-06;80;80;Yes;;SR;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;Y
Bowdoin College;Coed;11/15/2024;1/6/2025;;;;2025-01-06;65;65;Yes;;;;N;See Website;See Website;1;;Y;Y;Y
Bowling Green State University;Coed;;;2/20/2025;;;Rolling;45;75;;;;;S;See Website;See Website;;;;;Y
Brandeis University;Coed;11/1/2024;1/2/2025;;;;2025-01-02;80;80;Yes;;SR;;N;None;See Website;1;;Y;Y;Y
Brenau University;Coordinate;;;;;;Rolling;0;25;;;;;N;See Website;I or T;;;;;Y
Brevard College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Bridgewater College;Coed;;;11/15/2024;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Bridgewater State University;Coed;;;11/15/2024;;;2025-02-15;50;50;;;;;N;SAT without Essay or ACT without Essay;;;;;;Y
Brown University;Coed;11/1/2024;;;;;2025-01-03;75;75;Yes;;SR;Yes;A;See Website;See Website;2;;Y;Y;Y
Bryant University;Coed;11/1/2024;1/15/2025;11/15/2024;;;2025-02-01;50;50;Yes;;;;F;None;See Website;;;Y;Y;Y
Bryn Athyn College;Coed;;;11/15/2024;;;2025-02-01;0;0;;;;;N;SAT without Essay or ACT without Essay;;;;;Y;Y
Bryn Mawr College;Women;11/15/2024;1/1/2025;;;;2025-01-15;0;0;Yes;;SR;Yes;N;None;;2;;Y;Y;Y
Bucknell University;Coed;11/15/2024;1/15/2025;;;;2025-01-15;50;50;Yes;;SR;;S;See Website;See Website;1;;Y;Y;
Bushnell University;Coed;;;;;;Rolling;0;0;;;;;N;None;I or T;;;;;
Butler University;Coed;11/1/2024;;11/1/2024;;;2025-02-01;50;50;Yes;;;;N;See Website;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Cairn University;Coed;;;;;;Rolling;25;25;;;COL;;F;SAT without Essay or ACT without Essay;;;;;;
Caldwell University;Coed;;;12/1/2024;2/1/2025;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
California College of ASU;Coed;;;;;;2025-07-21;50;50;;Yes;;;S;See Website;;;;;;
California College of the Arts;Coed;;;11/15/2024;;;Rolling;70;70;;;;;N;None;See Website;1;;;;Y
California Institute of Technology (Caltech);Coed;;;;;11/1/2024;2025-01-03;75;75;Yes;;;;A;SAT without Essay or ACT without Essay;;2;;Y;;
California Lutheran University;Coed;;;11/15/2024;;;2025-01-15;25;25;Yes;;;;N;None;;1;;;Y;Y
Calumet College of St. Joseph;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Calvin University;Coed;;;;;;Rolling;35;35;Yes;;;;S;See Website;See Website;;;;;Y
Campbell University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;
Canisius University;Coed;;;12/1/2024;;;2025-07-27;0;0;Yes;;;;N;None;See Website;;;;;Y
Capital University;Coed;;;;;;Rolling;0;0;;;;;S;None;See Website;;;;;
Capitol Technology University;Coed;;;;;;Rolling;0;50;Yes;;;;N;None;See Website;;;;;Y
Carleton College;Coed;11/15/2024;1/15/2025;;;;2025-01-15;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;Y
Carlow University;Coed;;;;;;Rolling;0;0;;;;;S;See Website;;;;;;Y
Carnegie Mellon University;Coed;11/1/2024;;;;;2025-01-02;75;75;Yes;Yes;;Yes;N;See Website;See Website;1;;Y;Y;
Carnegie Mellon University in Qatar;Coed;11/1/2024;;;;;2025-01-15;70;70;;;;Yes;S;See Website;;1;;Y;Y;
Carolina University;Coed;;;;;;2025-06-07;0;0;;;;;N;None;See Website;;;;;
Carroll College (Montana);Coed;;;11/1/2024;;;2025-02-28;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Carroll University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Carson-Newman University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Carthage College;Coed;;;;;;Rolling;35;35;;;;;N;None;I or T;;;;;
Case Western Reserve University;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;75;0;Yes;;COL;;N;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;Y
Catawba College;Coed;;;11/15/2024;;;2025-02-01;0;0;;;;;S;See Website;;;;;;Y
Cedar Crest College;Women;;;;;;Rolling;0;0;Yes;;;;F;SAT without Essay or ACT without Essay;;1;;;Y;Y
Cedarville University;Coed;;;;;;Rolling;0;0;;;;;S;None;See Website;;;;;
Centenary College of Louisiana;Coed;;;12/1/2024;;;2025-02-15;0;0;Yes;;;;F;See Website;;1;;;Y;Y
Centenary University;Coed;;;11/1/2024;;;2025-07-26;0;0;;;;;N;None;;;;;;
Central Connecticut State University;Coed;;;;;;2025-05-01;50;50;Yes;;;;F;See Website;;;;;;Y
Central Michigan University;Coed;;;;;;Rolling;40;55;;;;;N;None;See Website;;;;;Y
Central State University;Coed;;;;;;Rolling;0;0;;;;;N;None;I or T or P;;;;;
Central Washington University;Coed;;;;;;Rolling;60;60;;;;;F;None;I or T or P;;;;;Y
Centre College;Coed;11/1/2024;1/15/2025;11/15/2024;;;2025-02-01;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;;1;;;Y;
Chaminade University of Honolulu;Coed;;;;;;Rolling;50;50;;;;;N;See Website;;;;;;
Champlain College;Coed;11/15/2024;;12/15/2024;;;2025-07-27;0;0;Yes;;;;N;See Website;See Website;1;;Y;Y;Y
Chapman University;Coed;11/1/2024;;11/1/2024;;;2025-02-01;70;70;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;1;;Y;;Y
Charles R. Drew University of Medicine and Science;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;T;;;;Y;Y
Charleston Southern University;Coed;;;;;;Rolling;25;25;;;;;F;None;;;;;;
Chatham University;Coed;;;11/1/2024;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Chestnut Hill College;Coed;;;;;;Rolling;25;25;;;;;N;None;;;;;;Y
Cheyney University of Pennsylvania;Coed;;;;;;Rolling;35;35;;;;;A;SAT without Essay or ACT without Essay;T;;;;;
Chicago State University;Coed;;;12/1/2024;;;7/1/2025;25;50;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
Chowan University;Coed;;;;;;Rolling;0;20;;;;;N;None;See Website;;;;;
Christian Brothers University;Coed;;;;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;;
Christopher Newport University;Coed;11/15/2024;;12/1/2024;;;2025-02-01;65;65;Yes;;SR;;S;See Website;See Website;;;Y;;
City Year AmeriCorps Member - Year of Service;Coed;;;;;;Rolling;0;0;;;;;I;None;See Website;;;;Y;
Claflin University;Coed;;;;;;2025-04-03;0;0;;;;;F;SAT without Essay or ACT without Essay;I or T;;;;;
Claremont McKenna College;Coed;11/1/2024;1/10/2025;;;;2025-01-10;70;70;Yes;;;;N;See Website;See Website;1;;Y;Y;
Clark Atlanta University;Coed;;;11/1/2024;;;2025-04-15;35;55;Yes;;;;S;See Website;I or T;1;;;Y;Y
Clark University;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;0;0;Yes;;;;N;See Website;;1;;Y;Y;Y
Clarkson University;Coed;12/1/2024;;;;;2025-02-01;0;0;Yes;;;;F;None;;1;;Y;Y;
Clayton State University;Coed;;;;;;2025-07-15;40;40;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Clemson University;Coed;;;10/15/2024;;;2025-01-01;70;70;;;;;N;See Website;See Website;;;;;Y
Cleveland Institute of Art;Coed;;;12/1/2024;;;2025-03-01;0;0;Yes;;;;N;None;;;;;;
Cleveland State University;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;Y
Coastal Carolina University;Coed;10/15/2024;;11/15/2024;;;2025-02-01;45;45;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Coe College;Coed;11/15/2024;;12/10/2024;;;2025-03-01;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
Coker University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Colby College;Coed;11/15/2024;1/3/2025;;;;2025-01-03;0;0;Yes;;;;N;See Website;See Website;2;;;Y;
Colby-Sawyer College;Coed;;;12/15/2024;;;2025-07-28;0;0;Yes;;;;N;None;See Website;;;;;Y
Colgate University;Coed;11/1/2024;1/15/2025;;;;2025-01-15;60;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;
College for Creative Studies;Coed;;;12/1/2024;;;2025-02-01;0;0;;;;;N;None;C or D or I or T;;;;;
College of Charleston;Coed;11/1/2024;2/1/2025;11/1/2024;;;2025-02-01;60;60;;;;;S;SAT without Essay or ACT without Essay;See Website;;;Y;;Y
College of Saint Benedict;Coordinate;;;11/1/2024;12/1/2024;;2025-01-15;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;
College of Saint Mary;Women;;;;;;Rolling;0;0;;Yes;;;F;SAT without Essay or ACT without Essay;I or T;;;;;
College of the Atlantic;Coed;11/15/2024;1/15/2025;12/1/2024;;;2025-02-01;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;;2;;Y;Y;
College of the Holy Cross;Coed;11/15/2024;1/15/2025;;;;2025-01-15;60;60;Yes;;SR;;N;See Website;See Website;1;;Y;Y;Y
College of Wooster;Coed;11/1/2024;1/15/2025;12/5/2024;;;2025-02-15;0;0;Yes;;;;N;See Website;See Website;1;;;Y;
Colorado College;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;0;0;Yes;;;;N;None;See Website;2;;Y;;
Colorado School of Mines;Coed;;;11/1/2024;;;2025-01-15;50;75;;;;;N;None;See Website;;;;;
Colorado State University;Coed;;;11/15/2024;;;2025-01-15;50;50;Yes;;;;N;None;See Website;;;;;Y
Colorado State University Pueblo;Coed;;;;;;Rolling;25;25;;;;;S;See Website;See Website;;;;;
Columbia College (SC);Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;
Columbia College Chicago;Coed;;;;;;Rolling;25;25;;;;;I;None;See Website;;;;;
Columbia College Missouri;Coed;;;;;;Rolling;0;15;;;;;F;SAT without Essay or ACT without Essay;;;;;;Y
Columbia University;Coed;11/1/2024;;;;;2025-01-01;85;85;Yes;;SR;Yes;N;See Website;;2;;Y;Y;Y
Columbus College of Art & Design;Coed;;;;;;Rolling;50;50;;;;;N;None;;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Concord University;Coed;;;;;;Rolling;0;0;;;;;F;See Website;;;;;;
Concordia College at Moorhead;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Concordia University Ann Arbor;Coed;;;;;;Rolling;0;15;;;;;N;None;See Website;;;;;Y
Concordia University Chicago;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Concordia University Irvine;Coed;;;11/15/2024;2/15/2025;;Rolling;0;0;;;;;N;None;See Website;;;;;
Concordia University Texas;Coed;;;;;;Rolling;25;50;;;;;F;SAT without Essay or ACT without Essay;I or T;;;;;
Concordia University Wisconsin;Coed;;;;;;Rolling;0;15;;;;;N;None;See Website;;;;;Y
Concordia University, St. Paul;Coed;;;;;;Rolling;0;0;;;;;S;See Website;See Website;;;;;
Connecticut College;Coed;11/15/2024;1/15/2025;;;;2025-01-15;0;0;Yes;;;;N;See Website;See Website;1;;Y;Y;
Converse University;Coed;;;11/1/2024;;;Rolling;0;0;;;;;N;None;;;;;;
Cooper Union for the Advancement of Science & Art;Coed;;;;;;2025-01-05;75;75;Yes;;;;N;See Website;See Website;1;;Y;Y;Y
Coppin State University;Coed;;;;;;Rolling;0;0;;;;;F;None;;;;;;Y
Cornell University;Coed;11/1/2024;;;;;2025-01-02;80;80;Yes;;;Yes;S;See Website;See Website;2;;Y;Y;Y
Cornerstone University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;Y
Covenant College;Coed;;;11/15/2024;;;2025-03-01;35;35;;;;;F;See Website;See Website;;;;;Y
Creighton University;Coed;;;11/1/2024;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
Culver-Stockton College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Cumberland University;Coed;;;;;;Rolling;25;25;;;;;S;None;;;;;;
CUNEF Universidad;Coed;;;;;;2025-07-27;75;75;;;;;N;See Website;See Website;;;;Y;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Curry College;Coed;;;12/15/2024;;;Rolling;50;50;Yes;;SR;;N;See Website;;1;;;Y;Y
D'Youville University;Coed;;;11/1/2024;;;Rolling;0;0;;;;Yes;N;None;;;;;;Y
Daemen University;Coed;;;11/1/2024;;;Rolling;0;50;Yes;;;;N;See Website;;;;;;Y
Dallas Baptist University;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;
Dartmouth College;Coed;11/1/2024;;;;;2025-01-02;85;85;Yes;;;Yes;A;See Website;;2;;Y;Y;
Davenport University;Coed;;;;;;Rolling;0;0;;;;;F;None;;;;;;
Davidson College;Coed;11/15/2024;1/6/2025;;;;2025-01-13;50;0;Yes;;;Yes;N;See Website;;2;;Y;Y;
Dean College;Coed;;;11/1/2024;12/1/2024;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
Defiance College;Coed;;;;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;T;;;;;Y
Delaware State University;Coed;;;;;;2025-05-01;0;0;;;;;F;See Website;See Website;;;Y;;
Denison University;Coed;11/15/2024;1/15/2025;;;;2025-01-15;0;0;Yes;;COL;;N;SAT without Essay or ACT without Essay;;1;;;Y;Y
DePaul University;Coed;;;11/15/2024;;;2025-02-01;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
DePauw University;Coed;11/1/2024;12/15/2024;11/1/2024;12/15/2024;;2025-02-01;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;;;Y
DeSales University;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;T;;;;;Y
Dharma Realm Buddhist University;Coed;;;11/15/2024;;;2025-01-15;0;0;Yes;;;;N;None;See Website;;;;;Y
